title,original_language
new york cop,en
beyond bedlam,en
nemesis 2 - nebula,en
nina takes a lover,en
natural born killers,en
only you,en
once were warriors,en
poison ivy ii: lily,en
outbreak,en
leon: the professional,fr
the perez family,en
a pyromaniac's love story,en
pulp fiction,en
panther,en
pushing hands,zh
priest,en
quiz show,en
picture bride,en
queen margot,fr
the quick and the dead,en
roommates,sv
prêt-à-porter,en
three colors: red,fr
three colors: blue,fr
three colors: white,fr
"red firecracker, green firecracker",zh
rent-a-kid,en
relative fear,en
stuart saves his family,en
the swan princess,en
the secret of roan inish,en
the specialist,en
stargate,en
the santa clause,en
the shawshank redemption,en
shallow grave,en
suture,en
strawberry and chocolate,es
swimming with sharks,en
the sum of us,en
senior trip,en
to live,zh
tank girl,en
tales from the crypt: demon knight,en
star trek: generations,en
tales from the hood,en
tom & viv,en
village of the damned,en
tommy boy,en
vanya on 42nd street,en
the underneath,en
the walking dead,en
what's eating gilbert grape,en
virtuosity,en
while you were sleeping,en
the war,en
double happiness,en
muriel's wedding,en
the baby-sitters club,en
ace ventura: pet detective,en
"the adventures of priscilla, queen of the desert",en
backbeat,en
bitter moon,en
bullets over broadway,en
clear and present danger,en
the client,en
"corrina, corrina",en
crooklyn,en
the crow,en
cobb,en
the flintstones,en
forrest gump,en
four weddings and a funeral,en
higher learning,en
i like it like that,en
i love trouble,en
it could happen to you,en
the jungle book,en
"the wonderful, horrible life of leni riefenstahl",en
the lion king,en
little buddha,en
new nightmare,en
the mask,en
maverick,en
mrs. parker and the vicious circle,en
the naked gun 33⅓: the final insult,en
the paper,en
reality bites,en
red rock west,en
ri¢hie ri¢h,en
safe passage,en
the river wild,en
speed,en
speechless,en
timecop,en
true lies,en
when a man loves a woman,en
wolf,en
wyatt earp,en
bad company,en
a man of no importance,en
s.f.w.,en
a low down dirty shame,en
"boys life: three stories of love, lust, and liberation",en
colonel chabert,fr
"faster, pussycat! kill! kill!",en
jason's lyric,en
the secret adventures of tom thumb,en
street fighter,en
coldblooded,en
desert winds,en
fall time,en
the fear,en
frank and ollie,en
girl in the cadillac,en
homage,en
mirage,en
open season,en
dos crímenes,en
brother minister: the assassination of malcolm x,en
highlander: the final dimension,en
federal hill,en
in the mouth of madness,en
8 seconds,en
above the rim,en
addams family values,en
martin lawrence: you so crazy,en
the age of innocence,en
airheads,en
the air up there,en
another stakeout,en
bad girls,en
barcelona,en
being human,en
the beverly hillbillies,en
beverly hills cop iii,en
black beauty,en
blink,en
blown away,en
blue chips,en
blue sky,en
body snatchers,en
boxing helena,en
a bronx tale,en
cabin boy,en
calendar girl,en
carlito's way,en
city slickers ii: the legend of curly's gold,en
clean slate,en
cliffhanger,en
coneheads,en
color of night,en
cops & robbersons,en
the cowboy way,en
dangerous game,en
dave,en
dazed and confused,en
demolition man,en
the endless summer 2,en
even cowgirls get the blues,en
fatal instinct,en
farewell my concubine,zh
the favor,en
fearless,en
fear of a black hat,en
with honors,en
flesh and bone,en
widows' peak,en
for love or money,en
the firm,en
free willy,en
fresh,en
the fugitive,en
geronimo: an american legend,en
the getaway,en
getting even with dad,en
go fish,en
a good man in africa,en
guilty as sin,en
hard target,en
heaven & earth,en
hot shots! part deux,en
live nude girls,en
the englishman who went up a hill but came down a mountain,en
the house of the spirits,en
house party 3,en
the hudsucker proxy,en
i'll do anything,en
in the army now,en
in the line of fire,en
in the name of the father,en
the inkwell,en
what's love got to do with it,en
jimmy hollywood,en
judgment night,en
jurassic park,en
kalifornia,en
killing zoe,en
king of the hill,en
lassie,en
last action hero,en
life with mikey,en
lightning jack,en
m. butterfly,en
made in america,en
malice,en
the man without a face,en
manhattan murder mystery,en
menace ii society,en
executive decision,en
in the realm of the senses,ja
what happened was...,en
much ado about nothing,en
mr. jones,en
mr. wonderful,en
mrs. doubtfire,en
naked,en
the next karate kid,en
the new age,en
no escape,en
north,en
orlando,en
a perfect world,en
philadelphia,en
the piano,en
poetic justice,en
the program,en
the puppet masters,en
radioland murders,en
the ref,en
the remains of the day,en
renaissance man,en
rising sun,en
the road to wellville,en
robocop 3,en
robin hood: men in tights,en
romeo is bleeding,en
romper stomper,en
ruby in paradise,en
rudy,en
the saint of fort washington,en
savage nights,fr
schindler's list,en
the scout,en
searching for bobby fischer,en
second best,en
the secret garden,en
serial mom,en
the shadow,en
shadowlands,en
short cuts,en
a simple twist of fate,en
sirens,en
six degrees of separation,en
sleepless in seattle,en
sliver,en
blade runner,en
son in law,en
so i married an axe murderer,en
striking distance,en
harem,en
super mario bros.,en
surviving the game,en
terminal velocity,en
thirty two short films about glenn gould,en
threesome,en
the nightmare before christmas,en
the three musketeers,en
tombstone,en
trial by jury,en
true romance,en
the war room,en
the pagemaster,en
"paris, france",en
"the beans of egypt, maine",en
killer,en
welcome to the dollhouse,en
germinal,en
chasers,en
cronos,en
naked in new york,en
kika,es
bhaji on the beach,en
little big league,en
the slingshot,sv
wide eyed and legless,en
foreign student,en
"ciao, professore!",en
spanking the monkey,en
the little rascals,en
à la mode,en
andre,en
the escort,it
princess caraboo,en
the celluloid closet,en
café au lait,en
dear diary,it
i don't want to talk about it,en
the brady bunch movie,en
home alone,en
ghost,en
aladdin,en
terminator 2: judgment day,en
dances with wolves,en
tough and deadly,en
batman,en
the silence of the lambs,en
snow white and the seven dwarfs,en
beauty and the beast,en
pinocchio,en
pretty woman,en
window to paris,ru
the wild bunch,en
love and a .45,en
the wooden man's bride,en
a great day in harlem,en
bye bye love,en
one fine day,en
candyman: farewell to the flesh,en
century,en
fargo,en
homeward bound ii: lost in san francisco,en
heavy metal,en
hellraiser: bloodline,en
the pallbearer,en
jane eyre,en
loaded,en
bread and chocolate,it
the aristocats,en
the flower of my secret,es
two much,en
ed,en
scream of stone,de
my favorite season,fr
a modern affair,en
condition red,en
halfaouine: boy of the terraces,en
a thin line between love and hate,en
the last supper,en
primal fear,en
rude,en
carried away,en
all dogs go to heaven 2,en
land and freedom,en
denise calls up,en
theodore rex,en
a family thing,en
frisk,en
sgt. bilko,en
jack & sarah,en
girl 6,en
diabolique,en
"little indian, big city",fr
roula,de
peanuts – die bank zahlt alles,de
happy weekend,de
nelly and monsieur arnaud,fr
courage under fire,en
mission: impossible,en
cold fever,de
moll flanders,en
the superwife,de
"301, 302",ko
dragonheart,en
und keiner weint mir nach,de
my mother's courage,de
eddie,en
yankee zulu,en
billy's holiday,en
purple noon,fr
august,en
james and the giant peach,en
fear,en
kids in the hall: brain candy,en
faithful,en
underground,sr
all things fair,sv
bloodsport ii,en
pather panchali,bn
the world of apu,bn
mystery science theater 3000: the movie,en
tarantella,en
space jam,en
barbarella,en
hostile intentions,en
they bite,en
some folks call it a sling blade,en
the run of the country,en
alphaville,fr
coup de torchon,fr
tigrero: a film that was never made,en
the eye of vichy,en
windows,en
it's my party,en
country life,en
operation dumbo drop,en
the promise,de
mrs. winterbourne,en
solo,en
under the domim tree,he
the substitute,en
true crime,en
butterfly kiss,en
feeling minnesota,en
delta of venus,en
to cross the rubicon,en
angus,en
priest daens,nl
faces,en
boys,en
the quest,en
cosi,en
sunset park,en
mulholland falls,en
the truth about cats & dogs,en
oliver & company,en
celtic pride,en
flipper,en
captives,en
of love and shadows,en
dead man,en
the horseman on the roof,en
switchblade sisters,en
mouth to mouth,es
the visitors,fr
multiplicity,en
"the haunted world of edward d. wood, jr.",en
two friends,en
the craft,en
the great white hype,en
last dance,en
cold comfort farm,en
"institute benjamenta, or this dream people call human life",en
heaven's prisoners,en
original gangstas,en
the rock,en
getting away with murder,en
cemetery man,it
twister,en
barb wire,en
le garçu,fr
honeymoon,de
ghost in the shell,ja
thinner,en
spy hard,en
brothers in trouble,en
a close shave,en
force of evil,en
the stupids,en
the arrival,en
the man from down under,en
dr. strangelove or: how i learned to stop worrying and love the bomb,en
careful,en
a month by the lake,en
gold diggers: the secret of bear mountain,en
kim,en
carmen miranda: bananas is my business,pt
ashes of time,zh
the jar,en
maya lin: a strong clear vision,en
stalingrad,de
the phantom,en
striptease,en
the last of the high kings,en
heavy,en
jack,en
i shot andy warhol,en
the grass harp,en
someone else's america,sr
life is rosy,fr
quartier mozart,en
touki bouki,wo
god's gift,fr
spirits of the dead,fr
babyfever,en
pharaoh's  army,en
trainspotting,en
til there was you,en
independence day,en
stealing beauty,en
the fan,en
the hunchback of notre dame,en
the cable guy,en
kingpin,en
eraser,en
the gate of heavenly peace,en
the nutty professor,en
"i, the worst of all",es
an unforgettable summer,ro
a hungarian fairy tale,en
my life and times with antonin artaud,en
midnight dancers,en
somebody to love,en
a very natural thing,en
the old lady who walked in the sea,fr
daylight,en
the frighteners,en
lone star,en
harriet the spy,en
phenomenon,en
walking and talking,en
she's the one,en
a time to kill,en
american buffalo,en
rendezvous in paris,fr
alaska,en
fled,en
kazaam,en
magic hunter,hu
larger than life,en
a boy called hate,en
power 98,en
two deaths,en
a very brady sequel,en
stefano quantestorie,en
death in the garden,fr
hedd wyn,cy
la collectionneuse,fr
kaspar hauser,de
regular guys,de
diebinnen,de
the convent,en
the adventures of pinocchio,en
joe's apartment,en
the first wives club,en
stonewall,en
ransom,en
high school high,en
phat beach,en
foxfire,en
chain reaction,en
matilda,en
emma,en
the crow: city of angels,en
house arrest,en
eyes without a face,fr
bordello of blood,en
lotto land,en
the story of xinghua,en
the day the sun turned cold,zh
flirt,en
the big squeeze,en
the spitfire grill,en
escape from l.a.,en
cyclo,vi
basquiat,en
tin cup,en
dingo,en
the ballad of narayama,ja
every other weekend,fr
mille bolle blu,it
crows and sparrows,en
the godfather,en
maybe... maybe not,de
police story 3: supercop,cn
manny & lo,en
wife,ja
small faces,en
bound,en
carpool,en
death in brunswick,en
kansas city,en
gone fishin',en
lover's knot,de
vive l'amour,zh
shadow of angels,de
killer: a journal of murder,en
nothing to lose,en
project s,cn
girls town,en
bye-bye,en
the relic,en
the island of dr. moreau,en
first kid,en
the trigger effect,en
sweet nothing,en
bogus,en
bulletproof,en
talk of angels,en
the land before time iii: the time of the great giving,en
1-900,nl
baton rouge,fr
halloween: the curse of michael myers,en
twelfth night,en
mother night,en
liebelei,de
venice,en
wild reeds,fr
for whom the bell tolls,en
the philadelphia story,en
singin' in the rain,en
an american in paris,en
funny face,en
breakfast at tiffany's,en
vertigo,en
rear window,en
it happened one night,en
gaslight,en
the gay divorcee,en
north by northwest,en
the apartment,en
some like it hot,en
charade,en
casablanca,en
the maltese falcon,en
my fair lady,en
sabrina,en
roman holiday,en
the little princess,en
meet me in st. louis,en
the wizard of oz,en
gone with the wind,en
my favorite year,en
sunset boulevard,en
citizen kane,en
2001: a space odyssey,en
golden earrings,en
all about eve,en
the women,en
rebecca,en
foreign correspondent,en
notorious,en
spellbound,en
an affair to remember,en
to catch a thief,en
father of the bride,en
the band wagon,en
ninotchka,en
love in the afternoon,en
gigi,en
the reluctant debutante,it
the adventures of robin hood,en
the mark of zorro,en
laura,en
the ghost and mrs. muir,en
lost horizon,en
top hat,en
to be or not to be,en
my man godfrey,en
giant,en
east of eden,en
the thin man,en
his girl friday,en
around the world in eighty days,en
it's a wonderful life,en
mr. smith goes to washington,en
bringing up baby,en
penny serenade,en
the scarlet letter,en
lady of burlesque,en
of human bondage,en
angel on my shoulder,en
little lord fauntleroy,en
they made me a criminal,en
the inspector general,en
angel and the badman,en
the 39 steps,en
a walk in the sun,en
the outlaw,en
night of the living dead,en
the african queen,en
beat the devil,en
cat on a hot tin roof,en
the last time i saw paris,en
meet john doe,en
algiers,en
something to sing about,en
a farewell to arms,en
moonlight murder,en
nothing personal,en
"yes, madam",cn
dangerous ground,en
picnic,en
madagascar skin,en
the pompatus of love,en
small wonders,en
fly away home,en
bliss,en
grace of my heart,en
brother of sleep,de
maximum risk,en
michael collins,en
the rich man's wife,en
infinity,en
big night,en
last man standing,en
caught,en
set it off,en
2 days in the valley,en
curdled,en
l'associé,en
ed's next move,en
extreme measures,en
the glimmer man,en
d3: the mighty ducks,en
the chamber,en
the apple dumpling gang,en
"davy crockett, king of the wild frontier",en
escape to witch mountain,en
the love bug,en
herbie rides again,en
old yeller,en
the parent trap,en
pollyanna,en
homeward bound: the incredible journey,en
the shaggy dog,en
swiss family robinson,en
that darn cat!,en
"20,000 leagues under the sea",en
cool runnings,en
angels in the outfield,en
cinderella,en
winnie the pooh and the blustery day,en
the three caballeros,en
the sword in the stone,en
so dear to my heart,en
robin hood: prince of thieves,en
mary poppins,en
dumbo,en
pete's dragon,en
bedknobs and broomsticks,en
alice in wonderland,en
the fox and the hound,en
freeway,en
the sound of music,en
die hard,en
the lawnmower man,en
unhook the stars,en
synthetic pleasures,en
the secret agent,en
secrets & lies,en
that thing you do!,en
to gillian on her 37th birthday,en
surviving picasso,en
love is all there is,en
beautiful thing,en
the long kiss goodnight,en
the ghost and the darkness,en
looking for richard,en
trees lounge,en
the proprietor,en
normal life,en
get on the bus,en
shadow conspiracy,en
jude,en
everyone says i love you,en
bitter sugar,es
romeo + juliet,en
swingers,en
sleepers,en
the sunchaser,en
johns,en
aladdin and the king of thieves,en
the woman in question,en
shall we dance,en
a damsel in distress,en
crossfire,en
"murder, my sweet",en
macao,en
for the moment,en
willy wonka & the chocolate factory,en
the sexual life of the belgians,it
the innocents,en
sleeper,en
bananas,en
a fish called wanda,en
life of brian,en
victor/victoria,en
the candidate,en
the great race,en
bonnie and clyde,en
the old man and the sea,en
dial m for murder,en
madame butterfly,en
dirty dancing,en
reservoir dogs,en
platoon,en
weekend at bernie's,en
basic instinct,en
the doors,en
the crying game,en
glengarry glen ross,en
sophie's choice,en
e.t. the extra-terrestrial,en
the search for one-eye jimmy,en
a christmas carol,en
days of thunder,en
top gun,en
american strays,en
rebel without a cause,en
a streetcar named desire,en
children of the corn iv: the gathering,en
the leopard son,en
charm's  incidents,de
bird of prey,es
microcosmos,fr
palookaville,en
the associate,en
the funeral,en
the sleepover,en
a single girl,fr
the eighth day,fr
north star,en
drunks,en
the people vs. larry flynt,en
glory daze,en
a perfect candidate,en
on golden pond,en
the return of the pink panther,en
drop dead fred,en
the abyss,en
the fog,en
escape from new york,en
the howling,en
jean de florette,fr
manon of the spring,fr
johnny 100 pesos,es
private benjamin,en
monty python and the holy grail,en
hustler white,en
dadetown,en
everything relative,en
entertaining angels - the dorothy day story,en
three lives and only one death,en
the line king: the al hirschfeld story,en
snowriders,de
curtis's charm,en
when we were kings,en
the wrong trousers,en
jlg/jlg: self-portrait in december,fr
the return of martin guerre,fr
faust,cs
he walked by night,en
raw deal,en
t-men,en
the children are watching us,it
pastoral symphony,en
here comes cookie,en
love in bloom,en
six of a kind,en
the tin drum,de
the ruling class,en
mina tannenbaum,fr
2 or 3 things i know about her,fr
the bloody child,en
dear god,en
bad moon,en
american dream,en
best of the best 3: no turning back,en
bob roberts,en
cinema paradiso,it
"the cook, the thief, his wife & her lover",en
dead tired,fr
delicatessen,fr
the double life of veronique,fr
enchanted april,en
paths of glory,en
the grifters,en
hear my song,en
the shooter,en
the english patient,en
mediterraneo,it
my left foot: the story of christy brown,en
"sex, lies, and videotape",en
passion fish,en
strictly ballroom,en
the thin blue line,en
tie me up! tie me down!,es
madonna: truth or dare,en
paris is burning,en
one flew over the cuckoo's nest,en
up in smoke,en
the empire strikes back,en
the princess bride,en
raiders of the lost ark,en
brazil,en
aliens,en
"the good, the bad and the ugly",it
withnail & i,en
12 angry men,en
lawrence of arabia,en
a clockwork orange,en
to kill a mockingbird,en
apocalypse now,en
once upon a time in the west,it
return of the jedi,en
wings of desire,de
the third man,en
goodfellas,en
alien,en
army of darkness,en
the big blue,fr
ran,ja
the killer,cn
psycho,en
the blues brothers,en
the godfather: part ii,en
full metal jacket,en
a grand day out,en
henry v,en
amadeus,en
the quiet man,en
once upon a time in america,en
raging bull,en
annie hall,en
the right stuff,en
stalker,ru
das boot,de
the sting,en
harold and maude,en
trust,en
the seventh seal,sv
local hero,en
the terminator,en
braindead,en
glory,en
rosencrantz & guildenstern are dead,en
manhattan,en
miller's crossing,en
dead poets society,en
the graduate,en
touch of evil,en
la femme nikita,fr
the bridge on the river kwai,en
8½,it
chinatown,en
the day the earth stood still,en
the treasure of the sierra madre,en
bad taste,en
duck soup,en
better off dead...,en
the shining,en
stand by me,en
m,de
evil dead ii,en
the great escape,en
the deer hunter,en
diva,fr
groundhog day,en
unforgiven,en
the manchurian candidate,en
pump up the volume,en
arsenic and old lace,en
back to the future,en
fried green tomatoes,en
patton,en
down by law,en
akira,ja
highlander,en
cool hand luke,en
cyrano de bergerac,fr
young frankenstein,en
night on earth,en
raise the red lantern,zh
the great dictator,en
fantasia,en
high noon,en
the big sleep,en
heathers,en
somewhere in time,en
ben-hur,en
this is spinal tap,en
koyaanisqatsi,en
some kind of wonderful,en
indiana jones and the last crusade,en
being there,en
gandhi,en
the unbearable lightness of being,en
a room with a view,en
real genius,en
pink floyd: the wall,en
the killing fields,en
my life as a dog,sv
forbidden planet,en
field of dreams,en
the man who would be king,en
butch cassidy and the sundance kid,en
"paris, texas",en
until the end of the world,de
when harry met sally...,en
i shot a man in vegas,en
parallel sons,en
hype!,en
santa with muscles,en
female perversions,en
mad dog time,en
breathing room,en
paris was a woman,en
i'm not rappaport,en
blue juice,en
kids of survival,en
alien³,en
an american werewolf in london,en
amityville: it's about time,en
amityville 3-d,en
amityville: dollhouse,en
amityville: a new generation,en
amityville ii: the possession,en
the amityville horror,en
the amityville curse,en
blood for dracula,en
april fool's day,en
audrey rose,en
the believers,en
the birds,en
the blob,en
blood beach,en
body parts,en
the body snatcher,en
dracula,en
bride of frankenstein,en
burnt offerings,en
candyman,en
cape fear,en
cape fear,en
carrie,en
cat people,en
a nightmare on elm street,en
nosferatu,de
vampire in venice,en
the omen,en
blood and wine,en
albino alligator,en
the mirror has two faces,en
breaking the waves,da
nightwatch,en
star trek: first contact,en
shine,en
sling blade,en
jingle all the way,en
identification of a woman,it
paradise lost: the child murders at robin hood hills,en
the preacher's wife,en
zero kelvin,no
ridicule,en
the crucible,en
101 dalmatians,en
the forbidden christ,it
i can't sleep,fr
die hard 2,en
star trek: the motion picture,en
star trek vi: the undiscovered country,en
star trek v: the final frontier,en
star trek ii: the wrath of khan,en
star trek iii: the search for spock,en
star trek iv: the voyage home,en
batman returns,en
young guns,en
young guns ii,en
grease,en
grease 2,en
marked for death,en
adrenalin: fear the rush,en
the substance of fire,en
under siege,en
terror in a texas town,en
jaws,en
jaws 2,en
jaws 3-d,en
my fellow americans,en
mars attacks!,en
citizen ruth,en
jerry maguire,en
raising arizona,en
tin men,en
sneakers,en
bastard out of carolina,en
in love and war,en
marvin's room,en
somebody is waiting,en
ghosts of mississippi,en
night falls on manhattan,en
beavis and butt-head do america,en
la cérémonie,fr
scream,en
the last of the mohicans,en
michael,en
the evening star,en
hamlet,en
some mother's son,en
the whole wide world,en
mother,en
thieves,fr
evita,en
the portrait of a lady,en
walkabout,en
message to love: the isle of wight festival,en
murder at 1600,en
hearts and minds,en
inside,en
fierce creatures,en
zeus & roxanne,en
turbulence,en
angel baby,en
first strike,cn
underworld,en
beverly hills ninja,en
metro,en
the machine,en
falling in love again,en
the cement garden,en
dante's peak,en
meet wally sparks,en
amos & andrew,en
benny & joon,en
prefontaine,en
a tickle in the heart,en
guantanamera,es
mchale's navy,en
kolya,cs
gridlock'd,en
fire on the mountain,en
waiting for guffman,en
prisoner of the mountains,ru
the beautician and the beast,en
suburbia,en
hotel de love,en
the pest,en
fools rush in,en
touch,en
absolute power,en
that darn cat,en
vegas vacation,en
unforgotten: twenty-five years after willowbrook,en
that old feeling,en
lost highway,en
rosewood,en
donnie brasco,en
salut cousin !,fr
booty call,en
rhyme & reason,en
boys life 2,en
city of industry,en
best men,en
jungle 2 jungle,en
kama sutra - a tale of love,en
private parts,en
love jones,en
the saint,en
smilla's sense of snow,en
the van,en
crash,en
the daytrippers,en
liar liar,en
the quiet room,en
selena,en
the devil's own,en
cats don't dance,en
b.a.p.s.,en
love and other catastrophes,it
turbo: a power rangers movie,en
anna karenina,en
double team,en
inventing the abbotts,en
anaconda,en
grosse pointe blank,en
keys to tulsa,en
kissed,en
8 heads in a duffel bag,en
hollow reed,en
paradise road,en
traveller,en
all over me,en
a brother's kiss,en
a chef in love,fr
romy and michele's high school reunion,en
temptress moon,zh
volcano,en
children of the revolution,en
austin powers: international man of mystery,en
breakdown,en
broken english,en
commandments,en
ripe,en
"truth or consequences, n.m.",en
the turning,en
warriors of virtue,en
fathers' day,en
the fifth element,en
intimate relations,en
nowhere,en
losing chase,en
sprung,en
le bonheur,fr
love! valour! compassion!,de
shall we dance?,ja
the second jungle book: mowgli & baloo,en
twin town,en
addicted to love,en
brassed off,en
the designated mourner,en
the lost world: jurassic park,en
ponette,fr
schizopolis,en
shiloh,en
the war at home,en
rough magic,en
trial and error,en
buddy,en
con air,en
late bloomers,en
the pillow book,en
to have (or not),en
speed 2: cruise control,en
squeeze,en
sudden manhattan,en
the next step,en
wedding bell blues,en
batman & robin,en
dream with the fishes,en
roseanna's grave,en
head above water,en
hercules,en
the last time i committed suicide,en
murder and murder,en
my best friend's wedding,en
tetsuo ii: body hammer,ja
when the cat's away,fr
contempt,fr
face/off,en
fall,en
gabbeh,fa
mondo,fr
the innocent sleep,fr
for ever mozart,en
men in black,en
out to sea,en
wild america,en
a simple wish,en
contact,en
love serenade,en
g.i. jane,en
conan the barbarian,en
george of the jungle,en
cop land,en
event horizon,en
spawn,en
air bud,en
picture perfect,en
in the company of men,en
free willy 3: the rescue,en
career girls,en
conspiracy theory,en
desperate measures,en
steel,en
she's so lovely,en
hoodlum,en
leave it to beaver,en
mimic,en
money talks,en
excess baggage,en
kull the conqueror,en
air force one,en
one eight seven,en
the hunt for red october,en
my own private idaho,en
"kiss me, guido",en
star maps,en
in & out,en
the edge,en
the peacemaker,en
l.a. confidential,en
seven years in tibet,en
kiss the girls,en
soul food,en
kicked in the head,en
wishmaster,en
a thousand acres,en
the game,en
fire down below,en
u turn,en
the locusts,en
the matchmaker,en
the assignment,en
a smile like yours,en
ulee's gold,en
the ice storm,en
stag,en
chasing amy,en
def jam's how to be a player,en
the full monty,en
alive and kicking,en
mrs brown,en
i know what you did last summer,en
the devil's advocate,en
rocketman,en
playing god,en
the house of yes,en
"fast, cheap & out of control",en
washington square,en
telling lies in america,de
year of the horse,en
gattaca,en
fairytale: a true story,en
phantoms,en
swept from the sea,en
wonderland,en
a life less ordinary,en
hurricane streets,en
eve's bayou,en
switchback,en
gang related,en
stripes,en
nenette and boni,fr
bean,en
hugo pool,en
mad city,en
one night stand,en
the tango lesson,en
welcome to sarajevo,en
deceiver,en
the rainmaker,en
boogie nights,en
witness,en
incognito,en
starship troopers,en
critical care,en
the joy luck club,en
chairman of the board,en
sliding doors,en
mortal kombat: annihilation,en
the truman show,en
the wings of the dove,en
mrs. dalloway,en
"i love you, i love you not",en
red corner,en
the jackal,en
anastasia,en
the man who knew too little,en
alien: resurrection,en
alien escape,en
amistad,en
the apostle,en
artemisia,fr
bent,en
bang,en
the boys,fr
the butcher boy,en
deconstructing harry,en
flubber,en
for richer or poorer,en
good will hunting,en
guy,en
