title,production_countries
Exotica,['canada']
Exit to Eden,['united states of america']
Ed Wood,['united states of america']
French Kiss,"['united kingdom', 'united states of america']"
Forget Paris,['united states of america']
Far from Home: The Adventures of Yellow Dog,['united states of america']
A Goofy Movie,['united states of america']
Hideaway,['united states of america']
Fluke,['united states of america']
Farinelli,"['belgium', 'france', 'italy']"
Gordy,['united states of america']
Gumby: The Movie,
The Glass Shield,"['united states of america', 'france']"
Hoop Dreams,['united states of america']
Heavenly Creatures,['new zealand']
Houseguest,
Immortal Beloved,['united states of america']
Heavyweights,['united states of america']
The Hunted,['united states of america']
I.Q.,['united states of america']
Interview with the Vampire,['united states of america']
Jefferson in Paris,['united states of america']
The Jerky Boys,['united states of america']
Junior,['united states of america']
Just Cause,['united states of america']
A Kid in King Arthur's Court,
Kiss of Death,['united states of america']
Star Wars,['united states of america']
Little Women,['united states of america']
A Little Princess,['united states of america']
Ladybird Ladybird,['united kingdom']
L'Enfer,['france']
Like Water for Chocolate,['mexico']
Legends of the Fall,['united states of america']
Major Payne,['united states of america']
Little Odessa,['united states of america']
Mi Vida Loca,['united states of america']
Love Affair,['united states of america']
Losing Isaiah,['united states of america']
The Madness of King George,['united kingdom']
Mary Shelley's Frankenstein,"['united kingdom', 'japan', 'united states of america']"
Man of the House,
Mixed Nuts,['united states of america']
Milk Money,['united states of america']
Miracle on 34th Street,['united states of america']
Miami Rhapsody,['united states of america']
My Family,['united states of america']
Murder in the First,"['france', 'united states of america']"
Nobody's Fool,['united states of america']
Nell,['united states of america']
New Jersey Drive,['united states of america']
New York Cop,"['japan', 'united states of america']"
Beyond Bedlam,['united kingdom']
Nemesis 2 - Nebula,['united states of america']
Nina Takes a Lover,
Natural Born Killers,['united states of america']
Only You,['united states of america']
Once Were Warriors,['new zealand']
Poison Ivy II: Lily,['united states of america']
Outbreak,['united states of america']
Leon: The Professional,"['france', 'united states of america']"
The Perez Family,['united states of america']
A Pyromaniac's Love Story,['united states of america']
Pulp Fiction,['united states of america']
Panther,"['united kingdom', 'united states of america']"
Pushing Hands,['taiwan']
Priest,['united kingdom']
Quiz Show,['united states of america']
Picture Bride,"['japan', 'united states of america']"
Queen Margot,"['france', 'germany', 'italy']"
The Quick and the Dead,"['japan', 'united states of america']"
Roommates,['united states of america']
Prêt-à-Porter,['united states of america']
Three Colors: Red,"['france', 'poland', 'switzerland']"
Three Colors: Blue,"['france', 'poland']"
Three Colors: White,"['france', 'poland']"
"Red Firecracker, Green Firecracker","['china', 'hong kong']"
Rent-a-Kid,['united states of america']
Relative Fear,['canada']
Stuart Saves His Family,"['germany', 'united states of america']"
The Swan Princess,['united states of america']
The Secret of Roan Inish,"['ireland', 'united states of america']"
The Specialist,"['peru', 'united states of america']"
Stargate,"['france', 'united states of america']"
The Santa Clause,['united states of america']
The Shawshank Redemption,['united states of america']
Shallow Grave,['united kingdom']
Suture,['united states of america']
Strawberry and Chocolate,"['cuba', 'spain']"
Swimming with Sharks,['united states of america']
The Sum of Us,['australia']
Senior Trip,"['canada', 'united states of america']"
To Live,"['china', 'hong kong']"
Tank Girl,['united states of america']
Tales from the Crypt: Demon Knight,['united states of america']
Star Trek: Generations,['united states of america']
Tales from the Hood,['united states of america']
Tom & Viv,"['united kingdom', 'united states of america']"
Village of the Damned,['united states of america']
Tommy Boy,['united states of america']
Vanya on 42nd Street,['united states of america']
The Underneath,['united states of america']
The Walking Dead,['united states of america']
What's Eating Gilbert Grape,['united states of america']
Virtuosity,['united states of america']
While You Were Sleeping,['united states of america']
The War,['united states of america']
Double Happiness,['canada']
Muriel's Wedding,"['australia', 'france']"
The Baby-Sitters Club,['united states of america']
Ace Ventura: Pet Detective,['united states of america']
"The Adventures of Priscilla, Queen of the Desert",['australia']
Backbeat,"['germany', 'united kingdom']"
Bitter Moon,"['france', 'united kingdom', 'united states of america']"
Bullets Over Broadway,['united states of america']
Clear and Present Danger,['united states of america']
The Client,['united states of america']
"Corrina, Corrina",['united states of america']
Crooklyn,['united states of america']
The Crow,['united states of america']
Cobb,['united states of america']
The Flintstones,['united states of america']
Forrest Gump,['united states of america']
Four Weddings and a Funeral,['united kingdom']
Higher Learning,['united states of america']
I Like It Like That,['united states of america']
I Love Trouble,['united states of america']
It Could Happen to You,['united states of america']
The Jungle Book,['united states of america']
"The Wonderful, Horrible Life of Leni Riefenstahl","['france', 'united kingdom', 'germany', 'belgium']"
The Lion King,['united states of america']
Little Buddha,"['france', 'italy', 'liechtenstein', 'united kingdom']"
New Nightmare,['united states of america']
The Mask,['united states of america']
Maverick,['united states of america']
Mrs. Parker and the Vicious Circle,['united states of america']
The Naked Gun 33⅓: The Final Insult,['united states of america']
The Paper,['united states of america']
Reality Bites,['united states of america']
Red Rock West,['united states of america']
Ri¢hie Ri¢h,['united states of america']
Safe Passage,['united states of america']
The River Wild,['united states of america']
Speed,['united states of america']
Speechless,['united states of america']
Timecop,"['japan', 'united states of america']"
True Lies,['united states of america']
When a Man Loves a Woman,['united states of america']
Wolf,['united states of america']
Wyatt Earp,['united states of america']
Bad Company,['united states of america']
A Man of No Importance,"['united kingdom', 'ireland']"
S.F.W.,['united states of america']
A Low Down Dirty Shame,['united states of america']
"Boys Life: Three Stories of Love, Lust, and Liberation",['united states of america']
Colonel Chabert,['france']
"Faster, Pussycat! Kill! Kill!",['united states of america']
Jason's Lyric,['united states of america']
The Secret Adventures of Tom Thumb,['united kingdom']
Street Fighter,"['japan', 'united states of america']"
Coldblooded,['united states of america']
Desert Winds,
Fall Time,['united states of america']
The Fear,['united states of america']
Frank and Ollie,['united states of america']
Girl in the Cadillac,['united states of america']
Homage,['united states of america']
Mirage,
Open Season,['united states of america']
Dos Crímenes,
Brother Minister: The Assassination of Malcolm X,
Highlander: The Final Dimension,"['canada', 'france', 'united kingdom']"
Federal Hill,
In the Mouth of Madness,['united states of america']
8 Seconds,['united states of america']
Above the Rim,['united states of america']
Addams Family Values,['united states of america']
Martin Lawrence: You So Crazy,['united states of america']
The Age of Innocence,['united states of america']
Airheads,['united states of america']
The Air Up There,['united states of america']
Another Stakeout,['united states of america']
Bad Girls,['united states of america']
Barcelona,['united states of america']
Being Human,"['japan', 'united kingdom']"
The Beverly Hillbillies,['united states of america']
Beverly Hills Cop III,['united states of america']
Black Beauty,"['united kingdom', 'united states of america']"
Blink,['united states of america']
Blown Away,['united states of america']
Blue Chips,['united states of america']
Blue Sky,['united states of america']
Body Snatchers,['united states of america']
Boxing Helena,['united states of america']
A Bronx Tale,['united states of america']
Cabin Boy,['united states of america']
Calendar Girl,['united states of america']
Carlito's Way,['united states of america']
City Slickers II: The Legend of Curly's Gold,['united states of america']
Clean Slate,['united states of america']
Cliffhanger,"['france', 'italy', 'united states of america']"
Coneheads,['united states of america']
Color of Night,['united states of america']
Cops & Robbersons,['united states of america']
The Cowboy Way,['united states of america']
Dangerous Game,['united states of america']
Dave,['united states of america']
Dazed and Confused,['united states of america']
Demolition Man,['united states of america']
The Endless Summer 2,['united states of america']
Even Cowgirls Get the Blues,['united states of america']
Fatal Instinct,['united states of america']
Farewell My Concubine,"['china', 'hong kong']"
The Favor,['united states of america']
Fearless,['united states of america']
Fear of a Black Hat,"['united kingdom', 'united states of america']"
With Honors,['united states of america']
Flesh and Bone,['united states of america']
Widows' Peak,"['ireland', 'united kingdom']"
For Love or Money,['united states of america']
The Firm,['united states of america']
Free Willy,"['france', 'united states of america']"
Fresh,"['france', 'united states of america']"
The Fugitive,['united states of america']
Geronimo: An American Legend,['united states of america']
The Getaway,"['japan', 'united states of america']"
Getting Even with Dad,['united states of america']
Go Fish,['united states of america']
A Good Man in Africa,"['south africa', 'united states of america']"
Guilty as Sin,['united states of america']
Hard Target,['united states of america']
Heaven & Earth,"['france', 'united states of america']"
Hot Shots! Part Deux,['united states of america']
Live Nude Girls,['united states of america']
The Englishman Who Went Up a Hill But Came Down a Mountain,['united kingdom']
The House of the Spirits,"['denmark', 'france', 'germany', 'portugal', 'united states of america']"
House Party 3,
The Hudsucker Proxy,"['germany', 'united kingdom', 'united states of america']"
I'll Do Anything,['united states of america']
In the Army Now,['united states of america']
In the Line of Fire,['united states of america']
In the Name of the Father,"['united kingdom', 'ireland']"
The Inkwell,['united states of america']
What's Love Got to Do with It,['united states of america']
Jimmy Hollywood,['united states of america']
Judgment Night,"['japan', 'united states of america']"
Jurassic Park,['united states of america']
Kalifornia,['united states of america']
Killing Zoe,"['france', 'united states of america']"
King of the Hill,['united states of america']
Lassie,['united states of america']
Last Action Hero,['united states of america']
Life With Mikey,['united states of america']
Lightning Jack,"['australia', 'united states of america']"
M. Butterfly,['united states of america']
Made in America,"['france', 'united states of america']"
Malice,['united states of america']
The Man without a Face,['united states of america']
Manhattan Murder Mystery,['united states of america']
Menace II Society,['united states of america']
Executive Decision,['united states of america']
In the Realm of the Senses,['japan']
What Happened Was...,['united states of america']
Much Ado About Nothing,"['united kingdom', 'united states of america']"
Mr. Jones,['united states of america']
Mr. Wonderful,['united states of america']
Mrs. Doubtfire,['united states of america']
Naked,['united kingdom']
The Next Karate Kid,['united states of america']
The New Age,['united states of america']
No Escape,['united states of america']
North,['united states of america']
Orlando,"['united kingdom', 'france', 'italy', 'netherlands', 'russia']"
A Perfect World,['united states of america']
Philadelphia,['united states of america']
The Piano,"['new zealand', 'australia', 'france']"
Poetic Justice,['united states of america']
The Program,['united states of america']
The Puppet Masters,['united states of america']
Radioland Murders,['united states of america']
The Ref,['united states of america']
The Remains of the Day,"['united kingdom', 'united states of america']"
Renaissance Man,"['canada', 'united states of america']"
Rising Sun,['united states of america']
The Road to Wellville,['united states of america']
RoboCop 3,['united states of america']
Robin Hood: Men in Tights,"['france', 'united states of america']"
Romeo Is Bleeding,"['united kingdom', 'united states of america']"
Romper Stomper,['australia']
Ruby in Paradise,['united states of america']
Rudy,['united states of america']
The Saint of Fort Washington,['united states of america']
Savage Nights,"['france', 'italy']"
Schindler's List,['united states of america']
The Scout,['united states of america']
Searching for Bobby Fischer,['united states of america']
Second Best,"['united kingdom', 'united states of america']"
The Secret Garden,['united states of america']
Serial Mom,['united states of america']
The Shadow,['united states of america']
Shadowlands,['united kingdom']
Short Cuts,['united states of america']
A Simple Twist of Fate,['united states of america']
Sirens,"['australia', 'united kingdom']"
Six Degrees of Separation,['united states of america']
Sleepless in Seattle,['united states of america']
Sliver,['united states of america']
Blade Runner,"['united states of america', 'hong kong', 'united kingdom']"
Son in Law,['united states of america']
So I Married an Axe Murderer,['united states of america']
Striking Distance,['united states of america']
Harem,
Super Mario Bros.,"['united kingdom', 'united states of america']"
Surviving the Game,['united states of america']
Terminal Velocity,['united states of america']
Thirty Two Short Films About Glenn Gould,"['finland', 'canada', 'netherlands', 'portugal']"
Threesome,['united states of america']
The Nightmare Before Christmas,['united states of america']
The Three Musketeers,"['united states of america', 'austria']"
Tombstone,['united states of america']
Trial by Jury,['united states of america']
True Romance,['united states of america']
The War Room,['united states of america']
The Pagemaster,['united states of america']
"Paris, France",['canada']
"The Beans of Egypt, Maine",
Killer,"['united kingdom', 'united states of america', 'canada']"
Welcome to the Dollhouse,['united states of america']
Germinal,"['belgium', 'france', 'italy']"
Chasers,['united states of america']
Cronos,['mexico']
Naked in New York,['united states of america']
Kika,"['france', 'spain']"
Bhaji on the Beach,['united kingdom']
Little Big League,['united states of america']
The Slingshot,"['denmark', 'sweden']"
Wide Eyed and Legless,
Foreign Student,
"Ciao, Professore!",['italy']
Spanking the Monkey,['united states of america']
The Little Rascals,['united states of america']
À la mode,
Andre,['united states of america']
The Escort,['italy']
Princess Caraboo,
The Celluloid Closet,['united states of america']
Café au Lait,"['france', 'belgium']"
Dear Diary,"['italy', 'france']"
I Don't Want to Talk About It,"['italy', 'argentina']"
The Brady Bunch Movie,['united states of america']
Home Alone,['united states of america']
Ghost,['united states of america']
Aladdin,['united states of america']
Terminator 2: Judgment Day,"['france', 'united states of america']"
Dances with Wolves,"['united kingdom', 'united states of america']"
Tough and Deadly,['united states of america']
Batman,"['united kingdom', 'united states of america']"
The Silence of the Lambs,['united states of america']
Snow White and the Seven Dwarfs,['united states of america']
Beauty and the Beast,['united states of america']
Pinocchio,['united states of america']
Pretty Woman,['united states of america']
Window to Paris,"['france', 'russia']"
The Wild Bunch,['united states of america']
Love and a .45,['united states of america']
The Wooden Man's Bride,['china']
A Great Day in Harlem,
Bye Bye Love,['united states of america']
One Fine Day,['united states of america']
Candyman: Farewell to the Flesh,['united states of america']
Century,['united kingdom']
Fargo,['united states of america']
Homeward Bound II: Lost in San Francisco,"['canada', 'united states of america']"
Heavy Metal,['canada']
Hellraiser: Bloodline,['united states of america']
The Pallbearer,['united states of america']
Jane Eyre,['united states of america']
Loaded,
Bread and Chocolate,['italy']
The Aristocats,['united states of america']
The Flower of My Secret,['spain']
Two Much,"['spain', 'united states of america']"
Ed,['united states of america']
Scream of Stone,
My Favorite Season,['france']
A Modern Affair,
Condition Red,['united states of america']
Halfaouine: Boy of the Terraces,"['france', 'italy', 'tunisia']"
A Thin Line Between Love and Hate,['united states of america']
The Last Supper,['united states of america']
Primal Fear,['united states of america']
Rude,
Carried Away,
All Dogs Go to Heaven 2,['united states of america']
Land and Freedom,"['france', 'germany', 'spain', 'united kingdom', 'italy']"
Denise Calls Up,['united states of america']
Theodore Rex,['united states of america']
A Family Thing,['united states of america']
Frisk,['united states of america']
Sgt. Bilko,['united states of america']
Jack & Sarah,"['france', 'united kingdom']"
Girl 6,['united states of america']
Diabolique,['united states of america']
"Little Indian, Big City",['france']
Roula,['germany']
Peanuts – Die Bank zahlt alles,['germany']
Happy Weekend,['germany']
Nelly and Monsieur Arnaud,"['germany', 'france', 'italy']"
Courage Under Fire,['united states of america']
Mission: Impossible,['united states of america']
Cold Fever,"['iceland', 'denmark', 'germany', 'japan', 'united states of america']"
Moll Flanders,['united states of america']
The Superwife,['germany']
"301, 302",['south korea']
DragonHeart,['united states of america']
Und keiner weint mir nach,['germany']
My Mother's Courage,"['united kingdom', 'germany', 'ireland', 'austria']"
Eddie,['united states of america']
Yankee Zulu,['south africa']
Billy's Holiday,
Purple Noon,"['france', 'italy']"
August,"['united kingdom', 'united states of america']"
James and the Giant Peach,['united states of america']
Fear,['united states of america']
Kids in the Hall: Brain Candy,"['united states of america', 'canada']"
Faithful,['united states of america']
Underground,"['serbia', 'france', 'germany', 'hungary', 'czech republic']"
All Things Fair,"['sweden', 'denmark']"
Bloodsport II,['united states of america']
Pather Panchali,['india']
The World of Apu,['india']
Mystery Science Theater 3000: The Movie,['united states of america']
Tarantella,
Space Jam,['united states of america']
Barbarella,['united states of america']
Hostile Intentions,['united states of america']
They Bite,
Some Folks Call It a Sling Blade,
The Run of the Country,"['ireland', 'united states of america']"
Alphaville,"['italy', 'france']"
Coup de Torchon,['france']
Tigrero: A Film That Was Never Made,
The Eye of Vichy,
Windows,['united states of america']
It's My Party,['united states of america']
Country Life,
Operation Dumbo Drop,['united states of america']
The Promise,['germany']
Mrs. Winterbourne,['united states of america']
Solo,"['united states of america', 'mexico']"
Under The Domim Tree,
The Substitute,['united states of america']
True Crime,
Butterfly Kiss,['united kingdom']
Feeling Minnesota,['united states of america']
Delta of Venus,['united states of america']
To Cross the Rubicon,
Angus,['united states of america']
Priest Daens,['belgium']
Faces,['united states of america']
Boys,['united states of america']
The Quest,"['canada', 'united states of america']"
Cosi,['australia']
Sunset Park,
Mulholland Falls,['united states of america']
The Truth About Cats & Dogs,['united states of america']
Oliver & Company,['united states of america']
Celtic Pride,['united states of america']
Flipper,['united states of america']
Captives,"['united kingdom', 'united states of america']"
Of Love and Shadows,"['argentina', 'united states of america']"
Dead Man,"['germany', 'japan', 'united states of america']"
The Horseman on the Roof,['france']
Switchblade Sisters,['united states of america']
Mouth to Mouth,['spain']
The Visitors,['france']
Multiplicity,['united states of america']
"The Haunted World of Edward D. Wood, Jr.",['united states of america']
Two Friends,['italy']
The Craft,['united states of america']
The Great White Hype,['united states of america']
Last Dance,['united states of america']
Cold Comfort Farm,['united kingdom']
"Institute Benjamenta, or This Dream People Call Human Life","['united kingdom', 'germany', 'japan']"
Heaven's Prisoners,"['united kingdom', 'united states of america']"
Original Gangstas,['united states of america']
The Rock,['united states of america']
Getting Away with Murder,"['united kingdom', 'united states of america']"
Cemetery Man,"['france', 'germany', 'italy']"
Twister,['united states of america']
Barb Wire,['united states of america']
Le Garçu,['france']
Honeymoon,['germany']
Ghost in the Shell,['japan']
Thinner,['united states of america']
Spy Hard,['united states of america']
Brothers in Trouble,['united kingdom']
A Close Shave,['united kingdom']
Force of Evil,['united states of america']
The Stupids,"['united kingdom', 'united states of america']"
The Arrival,"['mexico', 'united states of america']"
The Man from Down Under,['united states of america']
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"['united kingdom', 'united states of america']"
Careful,['canada']
A Month by the Lake,"['united kingdom', 'united states of america']"
Gold Diggers: The Secret of Bear Mountain,"['canada', 'united states of america']"
Kim,['united states of america']
Carmen Miranda: Bananas Is My Business,"['brazil', 'united kingdom']"
Ashes of Time,"['taiwan', 'hong kong']"
The Jar,
Maya Lin: A Strong Clear Vision,['united states of america']
Stalingrad,['germany']
The Phantom,"['australia', 'united states of america']"
Striptease,['united states of america']
The Last of the High Kings,
Heavy,['united states of america']
Jack,['united states of america']
I Shot Andy Warhol,"['united kingdom', 'united states of america']"
The Grass Harp,['united states of america']
Someone Else's America,"['serbia', 'greece', 'united kingdom', 'france', 'germany']"
Life is Rosy,"['belgium', 'congo', 'france']"
Quartier Mozart,
Touki Bouki,['senegal']
God's Gift,['burkina faso']
Spirits of the Dead,"['france', 'italy']"
Babyfever,
Pharaoh's  Army,['united states of america']
Trainspotting,['united kingdom']
Til There Was You,['united states of america']
Independence Day,['united states of america']
Stealing Beauty,"['france', 'italy', 'united kingdom']"
The Fan,['united states of america']
The Hunchback of Notre Dame,['united states of america']
The Cable Guy,['united states of america']
Kingpin,['united states of america']
Eraser,"['canada', 'united states of america']"
The Gate of Heavenly Peace,
The Nutty Professor,['united states of america']
"I, the Worst of All",['argentina']
An Unforgettable Summer,"['france', 'romania']"
A Hungarian Fairy Tale,['hungary']
My Life and Times With Antonin Artaud,
Midnight Dancers,['philippines']
Somebody to Love,['united states of america']
A Very Natural Thing,['united states of america']
The Old Lady Who Walked in the Sea,['france']
Daylight,['united states of america']
The Frighteners,"['new zealand', 'united states of america']"
Lone Star,['united states of america']
Harriet the Spy,['united states of america']
Phenomenon,['united states of america']
Walking and Talking,"['germany', 'united kingdom', 'united states of america']"
She's the One,['united states of america']
A Time to Kill,['united states of america']
American Buffalo,"['united kingdom', 'united states of america']"
Rendezvous in Paris,['france']
Alaska,['canada']
Fled,['united states of america']
Kazaam,['united states of america']
Magic Hunter,"['hungary', 'switzerland', 'france']"
Larger Than Life,['united states of america']
A Boy Called Hate,"['canada', 'united states of america']"
Power 98,
Two Deaths,['united kingdom']
A Very Brady Sequel,['united states of america']
Stefano Quantestorie,
Death in the Garden,"['mexico', 'france']"
Hedd Wyn,
La Collectionneuse,['france']
Kaspar Hauser,"['austria', 'germany', 'sweden']"
Regular Guys,['germany']
Diebinnen,['germany']
The Convent,
The Adventures of Pinocchio,"['czech republic', 'france', 'germany', 'united kingdom', 'united states of america']"
Joe's Apartment,['united states of america']
The First Wives Club,['united states of america']
Stonewall,"['united kingdom', 'united states of america']"
Ransom,['united states of america']
High School High,['united states of america']
Phat Beach,['united states of america']
Foxfire,['united states of america']
Chain Reaction,['united states of america']
Matilda,['united states of america']
Emma,['united states of america']
The Crow: City of Angels,['united states of america']
House Arrest,['united states of america']
Eyes Without a Face,"['france', 'italy']"
Bordello of Blood,['united states of america']
Lotto Land,
The Story of Xinghua,
The Day the Sun Turned Cold,['hong kong']
Flirt,"['germany', 'japan', 'united states of america']"
The Big Squeeze,['united states of america']
The Spitfire Grill,['united states of america']
Escape from L.A.,['united states of america']
Cyclo,"['vietnam', 'hong kong', 'france']"
