title,runtime,release_year
mighty morphin power rangers: the movie,92.0,1995
moonlight and valentino,100.0,1995
mute witness,95.0,1995
nadja,93.0,1994
the net,114.0,1995
nine months,103.0,1995
party girl,94.0,1995
the prophecy,98.0,1995
reckless,91.0,1995
safe,119.0,1995
the scarlet letter,135.0,1995
the show,93.0,1995
showgirls,128.0,1995
smoke,112.0,1995
something to talk about,106.0,1995
species,108.0,1995
the stars fell on henrietta,109.0,1995
strange days,145.0,1995
the umbrellas of cherbourg,91.0,1964
the tie that binds,99.0,1995
three wishes,115.0,1995
total eclipse,111.0,1995
"to wong foo, thanks for everything! julie newmar",105.0,1995
under siege 2: dark territory,100.0,1995
unstrung heroes,93.0,1995
unzipped,73.0,1995
a walk in the clouds,103.0,1995
waterworld,135.0,1995
white man's burden,89.0,1995
wild bill,98.0,1995
the browning version,97.0,1994
bushwhacked,90.0,1995
burnt by the sun,135.0,1994
before the rain,113.0,1994
before sunrise,105.0,1995
billy madison,89.0,1995
the babysitter,90.0,1995
boys on the side,115.0,1995
the cure,97.0,1995
castle freak,95.0,1995
circle of friends,103.0,1995
clerks,92.0,1994
don juan demarco,97.0,1994
disclosure,123.0,1994
dream man,0.0,1995
drop zone,101.0,1994
destiny turns on the radio,0.0,1995
death and the maiden,103.0,1994
dolores claiborne,132.0,1995
dumb and dumber,107.0,1994
eat drink man woman,123.0,1994
exotica,103.0,1994
exit to eden,113.0,1994
ed wood,127.0,1994
french kiss,111.0,1995
forget paris,101.0,1995
far from home: the adventures of yellow dog,87.0,1995
a goofy movie,78.0,1995
hideaway,103.0,1995
fluke,96.0,1995
farinelli,111.0,1994
gordy,90.0,1995
gumby: the movie,77.0,1995
the glass shield,109.0,1994
hoop dreams,171.0,1994
heavenly creatures,99.0,1994
houseguest,113.0,1995
immortal beloved,121.0,1994
heavyweights,100.0,1995
the hunted,106.0,1995
i.q.,100.0,1994
interview with the vampire,123.0,1994
jefferson in paris,139.0,1995
the jerky boys,82.0,1995
junior,109.0,1994
just cause,102.0,1995
a kid in king arthur's court,89.0,1995
kiss of death,101.0,1995
star wars,121.0,1977
little women,115.0,1994
a little princess,97.0,1995
ladybird ladybird,101.0,1994
l'enfer,100.0,1994
like water for chocolate,105.0,1992
legends of the fall,133.0,1994
major payne,95.0,1995
little odessa,98.0,1994
mi vida loca,92.0,1994
love affair,108.0,1994
losing isaiah,106.0,1995
the madness of king george,107.0,1994
mary shelley's frankenstein,123.0,1994
man of the house,96.0,1995
mixed nuts,97.0,1994
milk money,108.0,1994
miracle on 34th street,114.0,1994
miami rhapsody,95.0,1995
my family,128.0,1995
murder in the first,122.0,1995
nobody's fool,110.0,1994
nell,112.0,1994
new jersey drive,98.0,1995
new york cop,93.0,1993
beyond bedlam,89.0,1994
nemesis 2 - nebula,83.0,1995
nina takes a lover,100.0,1995
natural born killers,119.0,1994
only you,115.0,1994
once were warriors,99.0,1994
poison ivy ii: lily,106.0,1996
outbreak,127.0,1995
leon: the professional,110.0,1994
the perez family,113.0,1995
a pyromaniac's love story,94.0,1995
pulp fiction,154.0,1994
panther,124.0,1995
pushing hands,105.0,1992
priest,98.0,1994
quiz show,133.0,1994
picture bride,94.0,1995
queen margot,162.0,1994
the quick and the dead,107.0,1995
roommates,108.0,1995
prêt-à-porter,133.0,1994
three colors: red,99.0,1994
three colors: blue,98.0,1993
three colors: white,91.0,1994
"red firecracker, green firecracker",111.0,1994
rent-a-kid,85.0,1995
relative fear,90.0,1995
stuart saves his family,95.0,1995
the swan princess,89.0,1994
the secret of roan inish,97.0,1994
the specialist,110.0,1994
stargate,121.0,1994
the santa clause,97.0,1994
the shawshank redemption,142.0,1994
shallow grave,92.0,1994
suture,96.0,1993
strawberry and chocolate,108.0,1993
swimming with sharks,101.0,1994
the sum of us,100.0,1994
senior trip,91.0,1995
to live,125.0,1994
tank girl,98.0,1995
tales from the crypt: demon knight,92.0,1995
star trek: generations,118.0,1994
tales from the hood,98.0,1995
tom & viv,115.0,1994
village of the damned,99.0,1995
tommy boy,97.0,1995
vanya on 42nd street,119.0,1994
the underneath,99.0,1995
the walking dead,88.0,1995
what's eating gilbert grape,118.0,1993
virtuosity,106.0,1995
while you were sleeping,103.0,1995
the war,126.0,1994
double happiness,87.0,1994
muriel's wedding,106.0,1994
the baby-sitters club,94.0,1995
ace ventura: pet detective,86.0,1994
"the adventures of priscilla, queen of the desert",104.0,1994
backbeat,100.0,1994
bitter moon,139.0,1992
bullets over broadway,98.0,1994
clear and present danger,141.0,1994
the client,119.0,1994
"corrina, corrina",115.0,1994
crooklyn,115.0,1994
the crow,102.0,1994
cobb,128.0,1994
the flintstones,91.0,1994
forrest gump,142.0,1994
four weddings and a funeral,117.0,1994
higher learning,127.0,1995
i like it like that,104.0,1994
i love trouble,123.0,1994
it could happen to you,101.0,1994
the jungle book,111.0,1994
"the wonderful, horrible life of leni riefenstahl",180.0,1993
the lion king,89.0,1994
little buddha,140.0,1993
new nightmare,112.0,1994
the mask,101.0,1994
maverick,127.0,1994
mrs. parker and the vicious circle,125.0,1994
the naked gun 33⅓: the final insult,83.0,1994
the paper,112.0,1994
reality bites,99.0,1994
red rock west,98.0,1993
ri¢hie ri¢h,95.0,1994
safe passage,98.0,1994
the river wild,111.0,1994
speed,116.0,1994
speechless,99.0,1994
timecop,99.0,1994
true lies,141.0,1994
when a man loves a woman,126.0,1994
wolf,125.0,1994
wyatt earp,191.0,1994
bad company,108.0,1995
a man of no importance,99.0,1994
s.f.w.,96.0,1994
a low down dirty shame,100.0,1994
"boys life: three stories of love, lust, and liberation",91.0,1994
colonel chabert,110.0,1994
"faster, pussycat! kill! kill!",83.0,1965
jason's lyric,119.0,1994
the secret adventures of tom thumb,61.0,1993
street fighter,102.0,1994
coldblooded,92.0,1995
desert winds,97.0,1997
fall time,88.0,1995
the fear,98.0,1995
frank and ollie,89.0,1995
girl in the cadillac,89.0,1995
homage,97.0,1995
mirage,92.0,1995
open season,97.0,1996
dos crímenes,0.0,1995
brother minister: the assassination of malcolm x,115.0,1995
highlander: the final dimension,99.0,1994
federal hill,97.0,1995
in the mouth of madness,95.0,1994
8 seconds,105.0,1994
above the rim,96.0,1994
addams family values,94.0,1993
martin lawrence: you so crazy,84.0,1994
the age of innocence,139.0,1993
airheads,92.0,1994
the air up there,107.0,1994
another stakeout,105.0,1993
bad girls,99.0,1994
barcelona,100.0,1994
being human,122.0,1994
the beverly hillbillies,93.0,1993
beverly hills cop iii,104.0,1994
black beauty,88.0,1994
blink,106.0,1994
blown away,121.0,1994
blue chips,108.0,1994
blue sky,101.0,1994
body snatchers,87.0,1993
boxing helena,107.0,1993
a bronx tale,121.0,1993
cabin boy,80.0,1994
calendar girl,90.0,1993
carlito's way,144.0,1993
city slickers ii: the legend of curly's gold,116.0,1994
clean slate,107.0,1994
cliffhanger,112.0,1993
coneheads,88.0,1993
color of night,121.0,1994
cops & robbersons,93.0,1994
the cowboy way,102.0,1994
dangerous game,108.0,1993
dave,110.0,1993
dazed and confused,102.0,1993
demolition man,115.0,1993
the endless summer 2,109.0,1994
even cowgirls get the blues,96.0,1994
fatal instinct,91.0,1993
farewell my concubine,171.0,1993
the favor,97.0,1994
fearless,122.0,1993
fear of a black hat,88.0,1994
with honors,103.0,1994
flesh and bone,126.0,1993
widows' peak,101.0,1994
for love or money,94.0,1993
the firm,154.0,1993
free willy,112.0,1993
fresh,114.0,1994
the fugitive,130.0,1993
geronimo: an american legend,115.0,1993
the getaway,115.0,1994
getting even with dad,109.0,1994
go fish,83.0,1994
a good man in africa,94.0,1994
guilty as sin,107.0,1993
hard target,97.0,1993
heaven & earth,140.0,1993
hot shots! part deux,86.0,1993
live nude girls,95.0,1995
the englishman who went up a hill but came down a mountain,99.0,1995
the house of the spirits,140.0,1993
house party 3,100.0,1994
the hudsucker proxy,111.0,1994
i'll do anything,115.0,1994
in the army now,91.0,1994
in the line of fire,128.0,1993
in the name of the father,133.0,1993
the inkwell,110.0,1994
what's love got to do with it,118.0,1993
jimmy hollywood,112.0,1994
judgment night,110.0,1993
jurassic park,127.0,1993
kalifornia,117.0,1993
killing zoe,96.0,1993
king of the hill,103.0,1993
lassie,94.0,1994
last action hero,130.0,1993
life with mikey,91.0,1993
lightning jack,98.0,1994
m. butterfly,101.0,1993
made in america,111.0,1993
malice,107.0,1993
the man without a face,114.0,1993
manhattan murder mystery,104.0,1993
menace ii society,97.0,1993
executive decision,133.0,1996
in the realm of the senses,105.0,1976
what happened was...,91.0,1994
much ado about nothing,111.0,1993
mr. jones,114.0,1993
mr. wonderful,98.0,1993
mrs. doubtfire,125.0,1993
naked,131.0,1993
the next karate kid,107.0,1994
the new age,112.0,1994
no escape,118.0,1994
north,87.0,1994
orlando,93.0,1992
a perfect world,138.0,1993
philadelphia,125.0,1993
the piano,121.0,1993
poetic justice,109.0,1993
the program,112.0,1993
the puppet masters,109.0,1994
radioland murders,108.0,1994
the ref,97.0,1994
the remains of the day,134.0,1993
renaissance man,128.0,1994
rising sun,125.0,1993
the road to wellville,118.0,1994
robocop 3,104.0,1993
robin hood: men in tights,104.0,1993
romeo is bleeding,100.0,1993
romper stomper,94.0,1992
ruby in paradise,114.0,1993
rudy,114.0,1993
the saint of fort washington,99.0,1993
savage nights,126.0,1992
schindler's list,195.0,1993
the scout,101.0,1994
searching for bobby fischer,110.0,1993
second best,105.0,1994
the secret garden,102.0,1993
serial mom,95.0,1994
the shadow,108.0,1994
shadowlands,131.0,1993
short cuts,187.0,1993
a simple twist of fate,106.0,1994
sirens,98.0,1993
six degrees of separation,112.0,1993
sleepless in seattle,105.0,1993
sliver,108.0,1993
blade runner,117.0,1982
son in law,95.0,1993
so i married an axe murderer,93.0,1993
striking distance,102.0,1993
harem,113.0,1985
super mario bros.,104.0,1993
surviving the game,96.0,1994
terminal velocity,102.0,1994
thirty two short films about glenn gould,93.0,1993
threesome,93.0,1994
the nightmare before christmas,76.0,1993
the three musketeers,105.0,1993
tombstone,130.0,1993
trial by jury,107.0,1994
true romance,120.0,1993
the war room,96.0,1993
the pagemaster,80.0,1994
"paris, france",112.0,1994
"the beans of egypt, maine",0.0,1994
killer,97.0,1994
welcome to the dollhouse,88.0,1995
germinal,160.0,1993
chasers,102.0,1994
cronos,94.0,1993
naked in new york,95.0,1993
kika,117.0,1993
bhaji on the beach,100.0,1994
little big league,119.0,1994
the slingshot,102.0,1993
wide eyed and legless,102.0,1993
foreign student,90.0,1994
"ciao, professore!",100.0,1992
spanking the monkey,106.0,1994
the little rascals,82.0,1994
à la mode,82.0,1993
andre,94.0,1994
the escort,92.0,1993
princess caraboo,97.0,1994
the celluloid closet,102.0,1996
café au lait,94.0,1993
dear diary,100.0,1993
i don't want to talk about it,106.0,1993
the brady bunch movie,84.0,1995
home alone,103.0,1990
ghost,127.0,1990
aladdin,90.0,1992
terminator 2: judgment day,137.0,1991
dances with wolves,181.0,1990
tough and deadly,92.0,1995
batman,126.0,1989
the silence of the lambs,119.0,1991
snow white and the seven dwarfs,83.0,1937
beauty and the beast,84.0,1991
pinocchio,88.0,1940
pretty woman,119.0,1990
window to paris,87.0,1993
the wild bunch,145.0,1969
love and a .45,101.0,1994
the wooden man's bride,113.0,1994
a great day in harlem,60.0,1994
bye bye love,106.0,1995
one fine day,108.0,1996
candyman: farewell to the flesh,93.0,1995
century,112.0,1993
fargo,98.0,1996
homeward bound ii: lost in san francisco,89.0,1996
heavy metal,90.0,1981
hellraiser: bloodline,86.0,1996
the pallbearer,97.0,1996
jane eyre,112.0,1996
loaded,91.0,1996
bread and chocolate,100.0,1974
the aristocats,78.0,1970
the flower of my secret,107.0,1995
two much,118.0,1996
ed,94.0,1996
scream of stone,105.0,1991
my favorite season,127.0,1993
a modern affair,90.0,1996
condition red,83.0,1995
halfaouine: boy of the terraces,98.0,1990
a thin line between love and hate,108.0,1996
the last supper,92.0,1995
primal fear,129.0,1996
rude,89.0,1995
carried away,109.0,1996
all dogs go to heaven 2,82.0,1996
land and freedom,109.0,1995
denise calls up,80.0,1995
theodore rex,92.0,1995
a family thing,109.0,1996
frisk,88.0,1996
sgt. bilko,90.0,1996
jack & sarah,110.0,1995
girl 6,108.0,1996
diabolique,107.0,1996
"little indian, big city",90.0,1994
roula,97.0,1995
peanuts – die bank zahlt alles,,1996
happy weekend,,1996
nelly and monsieur arnaud,106.0,1996
courage under fire,117.0,1996
mission: impossible,110.0,1996
cold fever,85.0,1995
moll flanders,123.0,1996
the superwife,86.0,1996
"301, 302",100.0,1995
dragonheart,103.0,1996
und keiner weint mir nach,,1996
my mother's courage,93.0,1995
eddie,100.0,1996
yankee zulu,100.0,1993
billy's holiday,92.0,1995
purple noon,115.0,1960
august,94.0,1996
james and the giant peach,79.0,1996
fear,97.0,1996
kids in the hall: brain candy,89.0,1996
faithful,91.0,1996
underground,170.0,1995
all things fair,130.0,1995
bloodsport ii,90.0,1996
pather panchali,125.0,1955
the world of apu,117.0,1959
mystery science theater 3000: the movie,73.0,1996
tarantella,100.0,1996
space jam,88.0,1996
barbarella,98.0,1968
hostile intentions,90.0,1995
they bite,98.0,1996
some folks call it a sling blade,25.0,1994
the run of the country,0.0,1995
alphaville,100.0,1965
coup de torchon,128.0,1981
tigrero: a film that was never made,75.0,1994
the eye of vichy,110.0,1993
windows,96.0,1980
it's my party,110.0,1996
country life,118.0,1994
operation dumbo drop,107.0,1995
the promise,115.0,1995
mrs. winterbourne,105.0,1996
solo,94.0,1996
under the domim tree,0.0,1994
the substitute,114.0,1996
true crime,94.0,1996
butterfly kiss,88.0,1995
feeling minnesota,99.0,1996
delta of venus,99.0,1995
to cross the rubicon,0.0,1991
angus,90.0,1995
priest daens,138.0,1992
faces,130.0,1968
boys,86.0,1996
the quest,95.0,1996
cosi,102.0,1996
sunset park,99.0,1996
mulholland falls,107.0,1996
the truth about cats & dogs,93.0,1996
oliver & company,74.0,1988
celtic pride,91.0,1996
flipper,95.0,1996
captives,100.0,1994
of love and shadows,103.0,1994
dead man,121.0,1995
the horseman on the roof,135.0,1995
switchblade sisters,91.0,1975
mouth to mouth,106.0,1995
the visitors,107.0,1993
multiplicity,117.0,1996
"the haunted world of edward d. wood, jr.",112.0,1996
two friends,86.0,2002
the craft,101.0,1996
the great white hype,91.0,1996
last dance,103.0,1996
cold comfort farm,95.0,1995
"institute benjamenta, or this dream people call human life",104.0,1995
heaven's prisoners,132.0,1996
original gangstas,99.0,1996
the rock,136.0,1996
getting away with murder,91.0,1996
cemetery man,105.0,1994
twister,113.0,1996
barb wire,98.0,1996
le garçu,102.0,1995
honeymoon,92.0,1996
ghost in the shell,83.0,1995
thinner,92.0,1996
spy hard,81.0,1996
brothers in trouble,102.0,1995
a close shave,30.0,1995
force of evil,78.0,1948
the stupids,94.0,1996
the arrival,115.0,1996
the man from down under,103.0,1943
dr. strangelove or: how i learned to stop worrying and love the bomb,95.0,1964
careful,100.0,1992
a month by the lake,92.0,1995
gold diggers: the secret of bear mountain,94.0,1995
kim,113.0,1950
carmen miranda: bananas is my business,91.0,1995
ashes of time,100.0,1994
the jar,86.0,1994
maya lin: a strong clear vision,105.0,1995
stalingrad,134.0,1993
the phantom,100.0,1996
striptease,115.0,1996
the last of the high kings,102.0,1996
heavy,105.0,1995
jack,113.0,1996
i shot andy warhol,103.0,1996
the grass harp,107.0,1995
someone else's america,96.0,1995
life is rosy,80.0,1987
quartier mozart,80.0,1992
touki bouki,85.0,1973
god's gift,75.0,1982
spirits of the dead,121.0,1968
babyfever,109.0,1994
pharaoh's  army,90.0,1995
trainspotting,93.0,1996
til there was you,113.0,1997
independence day,145.0,1996
stealing beauty,116.0,1996
the fan,116.0,1996
the hunchback of notre dame,91.0,1996
the cable guy,96.0,1996
kingpin,113.0,1996
eraser,115.0,1996
the gate of heavenly peace,180.0,1995
the nutty professor,95.0,1996
"i, the worst of all",105.0,1990
an unforgettable summer,82.0,1994
a hungarian fairy tale,97.0,1987
my life and times with antonin artaud,90.0,1993
midnight dancers,100.0,1994
somebody to love,102.0,1994
a very natural thing,80.0,1974
the old lady who walked in the sea,0.0,1991
daylight,115.0,1996
the frighteners,110.0,1996
lone star,135.0,1996
harriet the spy,100.0,1996
phenomenon,123.0,1996
walking and talking,86.0,1996
she's the one,96.0,1996
a time to kill,149.0,1996
american buffalo,88.0,1996
rendezvous in paris,94.0,1995
alaska,109.0,1996
fled,98.0,1996
kazaam,93.0,1996
magic hunter,106.0,1994
larger than life,93.0,1996
a boy called hate,0.0,1996
power 98,89.0,1996
two deaths,102.0,1995
a very brady sequel,90.0,1996
stefano quantestorie,82.0,1993
death in the garden,104.0,1956
hedd wyn,123.0,1992
la collectionneuse,89.0,1967
kaspar hauser,139.0,1993
regular guys,100.0,1996
diebinnen,,1996
the convent,91.0,1995
the adventures of pinocchio,90.0,1996
joe's apartment,78.0,1996
the first wives club,102.0,1996
stonewall,99.0,1995
ransom,117.0,1996
high school high,86.0,1996
phat beach,89.0,1996
foxfire,102.0,1996
chain reaction,107.0,1996
matilda,98.0,1996
emma,121.0,1996
the crow: city of angels,84.0,1996
house arrest,108.0,1996
eyes without a face,90.0,1960
bordello of blood,87.0,1996
lotto land,87.0,1995
the story of xinghua,90.0,1994
the day the sun turned cold,99.0,1994
flirt,85.0,1995
the big squeeze,98.0,1996
the spitfire grill,117.0,1996
escape from l.a.,97.0,1996
cyclo,123.0,1995
basquiat,108.0,1996
tin cup,135.0,1996
dingo,109.0,1991
the ballad of narayama,98.0,1958
every other weekend,104.0,1990
mille bolle blu,0.0,1993
crows and sparrows,113.0,1949
the godfather,175.0,1972
maybe... maybe not,90.0,1994
police story 3: supercop,95.0,1992
manny & lo,88.0,1996
wife,89.0,1953
small faces,108.0,1996
bound,108.0,1996
carpool,89.0,1996
death in brunswick,109.0,1990
kansas city,116.0,1996
gone fishin',94.0,1997
lover's knot,82.0,1996
vive l'amour,118.0,1994
shadow of angels,101.0,1976
killer: a journal of murder,91.0,1996
nothing to lose,0.0,1994
project s,104.0,1993
girls town,90.0,1996
bye-bye,104.0,1995
the relic,110.0,1997
the island of dr. moreau,96.0,1996
first kid,101.0,1996
the trigger effect,94.0,1996
sweet nothing,89.0,1995
bogus,110.0,1996
bulletproof,84.0,1996
talk of angels,96.0,1998
the land before time iii: the time of the great giving,71.0,1995
1-900,0.0,1994
baton rouge,,1988
halloween: the curse of michael myers,88.0,1995
twelfth night,134.0,1996
mother night,114.0,1996
liebelei,88.0,1933
venice,110.0,2010
wild reeds,115.0,1994
for whom the bell tolls,170.0,1943
the philadelphia story,112.0,1940
singin' in the rain,103.0,1952
an american in paris,113.0,1951
funny face,103.0,1957
breakfast at tiffany's,110.0,1961
vertigo,128.0,1958
rear window,112.0,1954
it happened one night,105.0,1934
gaslight,114.0,1944
the gay divorcee,107.0,1934
north by northwest,136.0,1959
the apartment,125.0,1960
some like it hot,122.0,1959
charade,113.0,1963
casablanca,102.0,1942
the maltese falcon,100.0,1941
my fair lady,170.0,1964
sabrina,113.0,1954
roman holiday,119.0,1953
the little princess,93.0,1939
meet me in st. louis,113.0,1944
the wizard of oz,102.0,1939
gone with the wind,238.0,1939
my favorite year,92.0,1982
sunset boulevard,110.0,1950
citizen kane,119.0,1941
2001: a space odyssey,149.0,1968
golden earrings,95.0,1947
all about eve,138.0,1950
the women,133.0,1939
rebecca,130.0,1940
foreign correspondent,120.0,1940
notorious,102.0,1946
spellbound,111.0,1945
an affair to remember,111.0,1957
to catch a thief,106.0,1955
father of the bride,92.0,1950
the band wagon,112.0,1953
ninotchka,110.0,1939
love in the afternoon,130.0,1957
gigi,116.0,1958
the reluctant debutante,94.0,1958
the adventures of robin hood,102.0,1938
the mark of zorro,94.0,1940
laura,88.0,1944
the ghost and mrs. muir,104.0,1947
lost horizon,97.0,1937
top hat,101.0,1935
to be or not to be,99.0,1942
my man godfrey,94.0,1936
giant,201.0,1956
east of eden,115.0,1955
the thin man,93.0,1934
his girl friday,92.0,1940
around the world in eighty days,167.0,1956
it's a wonderful life,130.0,1946
mr. smith goes to washington,129.0,1939
bringing up baby,102.0,1938
penny serenade,119.0,1941
the scarlet letter,115.0,1926
lady of burlesque,91.0,1943
of human bondage,83.0,1934
angel on my shoulder,100.0,1946
little lord fauntleroy,102.0,1936
they made me a criminal,92.0,1939
the inspector general,101.0,1949
angel and the badman,100.0,1947
the 39 steps,86.0,1935
a walk in the sun,117.0,1945
the outlaw,116.0,1943
night of the living dead,96.0,1968
the african queen,105.0,1951
beat the devil,89.0,1953
cat on a hot tin roof,108.0,1958
the last time i saw paris,116.0,1954
meet john doe,122.0,1941
algiers,96.0,1938
something to sing about,93.0,1937
a farewell to arms,89.0,1932
moonlight murder,65.0,1936
nothing personal,83.0,1996
"yes, madam",93.0,1985
dangerous ground,95.0,1997
picnic,115.0,1955
madagascar skin,96.0,1995
the pompatus of love,99.0,1996
small wonders,77.0,1995
fly away home,107.0,1996
bliss,103.0,1997
grace of my heart,116.0,1996
brother of sleep,127.0,1995
maximum risk,100.0,1996
michael collins,132.0,1996
the rich man's wife,94.0,1996
infinity,119.0,1996
big night,107.0,1996
last man standing,101.0,1996
caught,110.0,1996
set it off,118.0,1996
2 days in the valley,104.0,1996
curdled,88.0,1996
l'associé,94.0,1979
ed's next move,88.0,1996
extreme measures,118.0,1996
the glimmer man,92.0,1996
d3: the mighty ducks,104.0,1996
the chamber,113.0,1996
the apple dumpling gang,100.0,1975
"davy crockett, king of the wild frontier",93.0,1955
escape to witch mountain,97.0,1975
the love bug,107.0,1968
herbie rides again,88.0,1974
old yeller,83.0,1957
the parent trap,129.0,1961
pollyanna,134.0,1960
homeward bound: the incredible journey,84.0,1993
the shaggy dog,104.0,1959
swiss family robinson,126.0,1960
that darn cat!,112.0,1965
"20,000 leagues under the sea",127.0,1954
cool runnings,98.0,1993
angels in the outfield,102.0,1994
cinderella,74.0,1950
winnie the pooh and the blustery day,25.0,1968
the three caballeros,71.0,1944
the sword in the stone,79.0,1963
so dear to my heart,79.0,1948
robin hood: prince of thieves,143.0,1991
mary poppins,139.0,1964
dumbo,64.0,1941
pete's dragon,128.0,1977
bedknobs and broomsticks,117.0,1971
alice in wonderland,75.0,1951
the fox and the hound,82.0,1981
freeway,110.0,1996
the sound of music,174.0,1965
die hard,131.0,1988
the lawnmower man,108.0,1992
unhook the stars,103.0,1996
synthetic pleasures,85.0,1995
the secret agent,95.0,1996
secrets & lies,142.0,1996
that thing you do!,108.0,1996
to gillian on her 37th birthday,93.0,1996
surviving picasso,125.0,1996
love is all there is,105.0,1996
beautiful thing,90.0,1996
the long kiss goodnight,120.0,1996
the ghost and the darkness,109.0,1996
looking for richard,112.0,1996
trees lounge,95.0,1996
the proprietor,0.0,1996
normal life,101.0,1996
get on the bus,120.0,1996
shadow conspiracy,103.0,1997
jude,123.0,1996
everyone says i love you,101.0,1996
bitter sugar,102.0,1996
romeo + juliet,120.0,1996
swingers,94.0,1996
sleepers,147.0,1996
the sunchaser,122.0,1996
johns,96.0,1996
