,crew,id
68,['F. Gary Gray'],10634
69,['Robert Rodriguez'],755
70,['Andrew Sipes'],11859
71,['Noah Baumbach'],28387
72,['Claude Lelouch'],48750
73,['Michael Goldenberg'],20927
74,['Steve Miner'],36929
75,['Christian Duguay'],9102
76,['Susanne Ofteringer'],124626
77,['Sean Penn'],27526
78,['Brian Gibson'],9623
79,['Jafar Panahi'],46785
80,['Gary Fleder'],400
81,['Marleen Gorris'],880
82,['Tim Reid'],146599
83,['Henry Jaglom'],188588
84,['Philip Haas'],8447
85,['Ridley Scott'],10534
86,['Ken Kwapis'],17414
87,['Penelope Spheeris'],13997
88,['John Badham'],2086
89,['John Duigan'],61548
90,['Stephen Frears'],9095
91,['Wes Craven'],12158
92,['Ted Demme'],9283
93,['John Woo'],9208
94,['Kenneth Branagh'],40154
95,['Mathieu Kassovitz'],406
96,['Paul W.S. Anderson'],45549
97,['Nick Broomfield'],63076
98,['Harold Becker'],11062
99,['Wes Anderson'],13685
100,['Nick Castle'],47475
101,['John Dahl'],2045
102,['Dennis Dugan'],9614
103,['Clint Eastwood'],688
104,['Doris Dörrie'],11907
105,['Brian Henson'],10874
106,['Robert Leacock'],89333
107,['James Bruce'],96357
108,['Mel Gibson'],197
109,['Martin Scorsese'],103
110,['Stanley Tong'],33542
111,['Barbet Schroeder'],43566
112,['Mort Ransen'],71754
113,['Étienne Chatiliez'],43612
114,['Jon Blair'],51352
115,['Benjamin Ross'],16934
116,['Eric Schaeffer'],10324
117,['Andrew Davis'],78406
118,['Charles T. Kanganis'],55731
119,['John N. Smith'],32119
120,['Reginald Hudlin'],11066
121,['Wong Kar-wai'],11104
122,['Giuseppe Tornatore'],37975
123,['David O. Russell'],2074
124,['Peter MacDonald'],27793
125,['Moufida Tlatli'],44284
126,['Michel Negroponte'],290157
127,['Bryan Gordon'],110972
128,['Rebecca Miller'],32622
129,['Michael Lindsay-Hogg'],73067
130,['William Friedkin'],11863
131,['Ángel Muñiz'],55475
132,['Craig Baldwin'],124636
133,['David S. Ward'],9101
134,['Mark Rappaport'],123360
135,['Dirk Shafer'],5757
136,['Terence Davies'],39428
137,['Sandip Ray'],124639
138,['Jon Avnet'],9302
139,['Mike Nichols'],11000
140,['Jakov Sedlar'],249882
141,['Edward Burns'],16388
142,['Michael Bay'],9737
143,['Christopher Cain'],30765
144,['Scott Kalvert'],10474
145,['Mike Newell'],22279
146,['Hal Hartley'],30157
147,['Ron Howard'],568
148,['Michael Caton-Jones'],11780
149,['Abel Ferrara'],34996
150,['Joel Schumacher'],414
151,['Luis Buñuel'],649
152,['John Boorman'],1873
153,['Paul Auster'],5894
154,['Michael Moore'],1775
155,['Brad Silberling'],8839
156,['Spike Lee'],20649
157,['Frank Marshall'],10329
158,['Tony Scott'],8963
159,['Terry Zwigoff'],26564
160,['Robert Rodriguez'],8068
161,['Carl Franklin'],8512
162,['John McTiernan'],1572
163,['Gregg Araki'],13552
164,['Christopher Menaul'],259209
165,['Jerry Zucker'],6520
166,['Dwight H. Little'],9073
167,['Iain Softley'],10428
168,['Christopher Ashley'],17447
169,['Robert Longo'],9886
170,['Danny Cannon'],9482
171,['John Fortenberry'],19326
172,['Larry Clark'],9344
173,['Tom DiCillo'],9071
174,['Clive Barker'],8973
175,['Denys Arcand'],15730
176,['Antonia Bird'],47608
177,['Kevin Smith'],2293
178,['Bryan Spicer'],9070
179,['David Anspaugh'],68274
180,['Anthony Waller'],48787
181,['Michael Almereyda'],34574
182,['Irwin Winkler'],1642
183,['Chris Columbus'],11472
184,['Daisy von Scherler Mayer'],36196
185,['Gregory Widen'],11980
186,['Norman René'],58372
187,['Todd Haynes'],32646
188,['Roland Joffé'],10533
189,[],56088
190,['Paul Verhoeven'],10802
191,['Wayne Wang'],10149
192,['Lasse Hallström'],18402
193,['Roger Donaldson'],9348
194,['James Keach'],139408
195,['Kathryn Bigelow'],281
196,['Jacques Demy'],5967
197,['Wesley Strick'],79593
198,['Martha Coolidge'],47939
199,['Agnieszka Holland'],36834
200,['Beeban Kidron'],9090
201,['Geoff Murphy'],3512
202,['Diane Keaton'],52856
203,['Douglas Keeve'],77350
204,['Alfonso Aráu'],9560
205,['Kevin Reynolds'],9804
206,['Desmond Nakano'],31611
207,['Walter Hill'],65796
208,['Mike Figgis'],49805
209,['Greg Beeman'],26258
210,['Nikita Mikhalkov'],50797
211,['Milčo Mančevski'],19155
212,['Richard Linklater'],76
213,['Tamra Davis'],11017
214,['Guy Ferland'],37141
215,['Herbert Ross'],9382
216,['Peter Horton'],6715
217,['Stuart Gordon'],18256
218,"[""Pat O'Connor""]",22625
219,['Kevin Smith'],2292
220,['Jeremy Leven'],1909
221,['Barry Levinson'],8984
222,['René Bonnière'],61813
223,['John Badham'],4954
224,['Jack Baran'],62488
225,['Roman Polanski'],10531
226,['Taylor Hackford'],11929
227,['Peter Farrelly'],8467
228,['Ang Lee'],10451
229,['Atom Egoyan'],20156
230,['Garry Marshall'],18395
231,['Tim Burton'],522
232,['Lawrence Kasdan'],397
233,['Billy Crystal'],10525
234,['Phillip Borsos'],27985
235,['Kevin Lima'],15789
236,['Brett Leonard'],27303
237,['Carlo Carlei'],21183
238,['Gérard Corbiau'],10954
239,['Mark Lewis'],47867
240,['Art Clokey'],43475
241,['Charles Burnett'],72031
242,['Steve James'],14275
243,['Peter Jackson'],1024
244,['Randall Miller'],17207
245,['Bernard Rose'],13701
246,['Steven Brill'],14819
247,['J. F. Lawton'],32631
248,['Fred Schepisi'],11777
249,['Neil Jordan'],628
250,['James Ivory'],87729
251,['James Melkonian'],18713
252,['Ivan Reitman'],6280
253,['Arne Glimcher'],9061
254,['Michael Gottlieb'],37108
255,['Barbet Schroeder'],6071
256,['George Lucas'],11
257,['Gillian Armstrong'],9587
258,['Alfonso Cuarón'],19101
259,['Ken Loach'],49980
260,['Claude Chabrol'],17961
261,['Alfonso Aráu'],18183
262,['Edward Zwick'],4476
263,['Nick Castle'],11008
264,['James Gray'],47504
265,['Allison Anders'],32325
266,['Glenn Gordon Caron'],43742
267,['Stephen Gyllenhaal'],28313
268,['Nicholas Hytner'],11318
269,['Kenneth Branagh'],3036
270,['James Orr'],40490
271,['Nora Ephron'],24070
272,['Richard Benjamin'],8986
273,['Les Mayfield'],10510
274,['David Frankel'],17402
275,['Gregory Nava'],38722
276,['Marc Rocco'],8438
277,['Robert Benton'],11593
278,['Michael Apted'],1945
279,['Nick Gomez'],39310
280,['Tōru Murakawa'],109560
281,['Vadim Jean'],56428
282,['Albert Pyun'],63105
283,['Alan Jacobs'],131957
284,['Oliver Stone'],241
285,['Norman Jewison'],9058
286,['Lee Tamahori'],527
287,['Anne Goursaud'],18220
288,['Wolfgang Petersen'],6950
289,['Luc Besson'],101
290,['Mira Nair'],63020
291,['Joshua Brand'],2307
292,['Quentin Tarantino'],680
293,['Mario Van Peebles'],41478
294,['Ang Lee'],25296
295,['Antonia Bird'],40156
296,['Robert Redford'],11450
297,['Kayo Hatta'],30304
298,['Patrice Chéreau'],10452
299,['Sam Raimi'],12106
300,['Peter Yates'],161495
301,['Robert Altman'],3586
302,['Krzysztof Kieślowski'],110
303,['Krzysztof Kieślowski'],108
304,['Krzysztof Kieślowski'],109
305,['He Ping'],159185
306,['Fred Gerber'],36357
307,['George Mihalka'],92769
308,['Harold Ramis'],28033
309,['Richard Rich'],22586
310,['John Sayles'],14334
311,['Luis Llosa'],2636
312,['Roland Emmerich'],2164
313,['John Pasquin'],11395
314,['Frank Darabont'],278
315,['Danny Boyle'],9905
316,['Scott McGehee'],87078
317,['Tomás Gutiérrez Alea'],12527
318,['George Huang'],20306
319,['Kevin Dowling'],36614
320,['Kelly Makin'],27993
321,['Zhang Yimou'],31439
322,['Rachel Talalay'],9067
323,['Ernest R. Dickerson'],9059
324,['David Carson'],193
325,['Rusty Cundieff'],25066
326,['Brian Gilbert'],46797
327,['John Carpenter'],12122
328,['Peter Segal'],11381
329,['Louis Malle'],32636
330,['Steven Soderbergh'],36141
331,['Preston A. Whitmore II'],95963
332,['Lasse Hallström'],1587
333,['Brett Leonard'],9271
334,['Jon Turteltaub'],2064
335,['Jon Avnet'],19855
336,['Mina Shum'],60855
337,['P.J. Hogan'],236
338,['Melanie Mayron'],48287
339,['Tom Shadyac'],3049
340,['Stephan Elliott'],2759
341,['Iain Softley'],12635
342,['Roman Polanski'],10497
343,['Woody Allen'],11382
344,['Phillip Noyce'],9331
345,['Joel Schumacher'],10731
346,['Jessie Nelson'],10464
347,['Spike Lee'],34152
348,['Alex Proyas'],9495
349,['Ron Shelton'],29973
350,['Brian Levant'],888
351,['Robert Zemeckis'],13
352,['Mike Newell'],712
353,['John Singleton'],16295
354,['Darnell Martin'],48992
355,['Charles Shyer'],10879
356,['Andrew Bergman'],10660
357,['Stephen Sommers'],10714
358,['Ray Müller'],41647
359,['Roger Allers'],8587
360,['Bernardo Bertolucci'],1689
361,['Wes Craven'],11596
362,['Chuck Russell'],854
363,['Richard Donner'],9359
364,['Alan Rudolph'],23333
365,['Peter Segal'],36593
366,['Ron Howard'],12280
367,['Ben Stiller'],2788
368,['John Dahl'],10427
369,['Donald Petrie'],11011
370,['Robert Allan Ackerman'],49803
371,['Curtis Hanson'],8987
372,['Jan de Bont'],1637
373,['Ron Underwood'],15128
374,['Peter Hyams'],8831
375,['James Cameron'],36955
376,['Luis Mandoki'],10449
377,['Mike Nichols'],10395
378,['Lawrence Kasdan'],12160
379,['Damian Harris'],40480
380,['Suri Krishnamma'],52038
381,['Jefery Levy'],29444
382,['Keenen Ivory Wayans'],26352
383,['Robert Lee King'],39953
384,['Yves Angelo'],41580
385,['Russ Meyer'],315
386,['Doug McHenry'],22067
387,['Dave Borthwick'],18242
388,['Steven E. de Souza'],11667
389,['Wallace Wolodarsky'],32502
390,['Michael A. Nickles'],267188
391,['Paul Warner'],28732
392,['Vincent Robert'],75555
393,['Theodore Thomas'],42981
394,['Lucas Platt'],278939
395,['Ross Kagan Marks'],291731
396,['Paul Williams'],226229
397,['Robert Wuhl'],203119
398,['Roberto Sneider'],172923
399,['Jack Baxter'],316098
400,['Andrew Morahan'],8011
401,['Michael Corrente'],171857
402,['John Carpenter'],2654
403,['John G. Avildsen'],18069
404,['Jeff Pollack'],19092
405,['Barry Sonnenfeld'],2758
406,['Thomas Schlamme'],38129
407,['Martin Scorsese'],10436
408,['Michael Lehmann'],13595
409,['Paul Michael Glaser'],46094
410,['John Badham'],9409
411,['Jonathan Kaplan'],11853
412,['Whit Stillman'],16771
413,['Bill Forsyth'],46924
414,['Penelope Spheeris'],11041
415,['John Landis'],306
416,['Caroline Thompson'],14522
417,['Michael Apted'],26203
418,['Stephen Hopkins'],178
419,['William Friedkin'],19819
420,['Tony Richardson'],57834
421,['Abel Ferrara'],4722
422,['Jennifer Chambers Lynch'],18215
423,['Robert De Niro'],1607
424,['Adam Resnick'],26391
425,['John Whitesell'],117553
426,['Brian De Palma'],6075
427,['Paul Weiland'],11310
428,['Mick Jackson'],18658
429,['Renny Harlin'],9350
430,['Steve Barron'],9612
431,['Richard Rush'],2124
432,['Michael Ritchie'],26261
433,['Gregg Champion'],19176
434,['Abel Ferrara'],49299
435,['Ivan Reitman'],11566
436,['Richard Linklater'],9571
437,['Marco Brambilla'],9739
438,['Bruce Brown'],24257
439,['Gus Van Sant'],34444
440,['Carl Reiner'],26141
441,['Chen Kaige'],10997
442,['Donald Petrie'],50463
443,['Peter Weir'],10443
444,['Rusty Cundieff'],20239
445,['Alek Keshishian'],16297
446,['Steve Kloves'],18551
447,['John Irvin'],25440
448,['Barry Sonnenfeld'],9024
449,['Sydney Pollack'],37233
450,['Simon Wincer'],1634
451,['Boaz Yakin'],13815
452,['Andrew Davis'],5503
453,['Walter Hill'],35588
454,['Roger Donaldson'],2087
455,['Howard Deutch'],41579
456,['Rose Troche'],18620
457,['Bruce Beresford'],41006
458,['Sidney Lumet'],4916
459,['John Woo'],2019
460,['Oliver Stone'],31642
461,['Jim Abrahams'],9255
462,['Julianna Lavin'],26271
463,['Christopher Monger'],10612
464,['Bille August'],2259
465,['Eric Meza'],16097
466,['Joel Coen'],11934
467,['James L. Brooks'],106143
468,"['Daniel Petrie, Jr.']",12475
469,['Wolfgang Petersen'],9386
470,['Jim Sheridan'],7984
471,['Matty Rich'],59930
472,['Brian Gibson'],15765
473,['Barry Levinson'],31643
474,['Stephen Hopkins'],6
475,['Steven Spielberg'],329
476,['Dominic Sena'],10909
477,['Roger Avary'],507
478,['Steven Soderbergh'],34024
479,['Daniel Petrie'],29918
480,['John McTiernan'],9593
481,['James Lapine'],42580
482,['Simon Wincer'],22317
483,['David Cronenberg'],1413
484,['Richard Benjamin'],12121
485,['Harold Becker'],2246
486,['Mel Gibson'],10502
487,['Woody Allen'],10440
488,['Albert Hughes'],9516
489,['Stuart Baird'],2320
490,['Nagisa Ōshima'],5879
491,['Tom Noonan'],83718
492,['Kenneth Branagh'],11971
493,['Mike Figgis'],2625
494,['Anthony Minghella'],31911
495,['Chris Columbus'],788
496,['Mike Leigh'],21450
497,['Christopher Cain'],11231
498,['Michael Tolkin'],41588
499,['Martin Campbell'],10447
500,['Rob Reiner'],31586
501,['Sally Potter'],9300
502,['Clint Eastwood'],9559
503,['Jonathan Demme'],9800
504,['Jane Campion'],713
505,['John Singleton'],8291
506,['David S. Ward'],18133
507,['Stuart Orme'],25557
508,['Mel Smith'],22588
509,['Ted Demme'],10872
510,['James Ivory'],1245
511,['Penny Marshall'],11858
512,['Philip Kaufman'],7007
513,['Alan Parker'],10467
514,['Fred Dekker'],5550
515,['Mel Brooks'],8005
516,['Peter Medak'],2088
517,['Geoffrey Wright'],10412
518,['Victor Nunez'],47889
519,['David Anspaugh'],14534
520,['Tim Hunter'],56583
521,['Cyril Collard'],41878
522,['Steven Spielberg'],424
523,['Michael Ritchie'],35233
524,['Steven Zaillian'],14291
525,['Chris Menges'],103413
526,['Agnieszka Holland'],11236
527,['John Waters'],11592
528,['Russell Mulcahy'],8850
529,['Richard Attenborough'],10445
530,['Robert Altman'],695
531,['Gillies MacKinnon'],43535
532,['John Duigan'],12519
533,['Fred Schepisi'],23210
534,['Nora Ephron'],858
535,['Phillip Noyce'],867
536,['Ridley Scott'],78
537,['Steve Rash'],13203
538,['Thomas Schlamme'],10442
539,['Rowdy Herrington'],11074
540,['Arthur Joffé'],33367
541,['Annabel Jankel'],9607
542,['Ernest R. Dickerson'],17585
543,['Deran Sarafian'],9057
544,['François Girard'],20967
545,['Andrew Fleming'],10635
546,['Henry Selick'],9479
547,['Stephen Herek'],10057
548,['George P. Cosmatos'],11969
549,['Heywood Gould'],41590
550,['Tony Scott'],319
551,['D.A. Pennebaker'],26408
552,['Joe Johnston'],15139
553,['Jerry Ciccoritti'],161158
554,['Jennifer Warren'],218473
555,['Mark Malone'],85247
556,['Todd Solondz'],11446
557,['Claude Berri'],51980
558,['Dennis Hopper'],24405
559,['Guillermo del Toro'],11655
560,['Daniel Algrant'],11800
561,['Pedro Almodóvar'],8223
562,['Gurinder Chadha'],14587
563,['Andrew Scheinman'],31504
564,['Åke Sandgren'],41653
565,['Richard Loncraine'],53185
566,['Eva Sereny'],95743
567,['Lina Wertmüller'],23637
568,['David O. Russell'],17600
569,['Penelope Spheeris'],10897
570,['Rémy Duchemin'],349394
571,['George T. Miller'],21352
572,['Ricky Tognazzi'],68806
573,['Michael Austin'],37345
574,['Rob Epstein'],32562
575,['Mathieu Kassovitz'],47507
576,['Nanni Moretti'],25403
577,['María Luisa Bemberg'],124304
578,['Betty Thomas'],9066
579,['Chris Columbus'],771
580,['Jerry Zucker'],251
581,['Ron Clements'],812
582,['James Cameron'],280
583,['Kevin Costner'],581
584,['Steve Cohen'],80350
585,['Tim Burton'],268
586,['Jonathan Demme'],274
587,['David Hand'],408
588,['Gary Trousdale'],10020
589,['Hamilton Luske'],10895
590,['Garry Marshall'],114
591,['Yuri Mamin'],41043
592,['Sam Peckinpah'],576
593,['C.M. Talkington'],15477
594,['Huang Jianxin'],59146
595,['Jean Bach'],124472
596,['Sam Weisman'],30528
597,['Michael Hoffman'],7300
598,['Bill Condon'],10824
599,['Stephen Poliakoff'],261246
600,['Joel Coen'],275
601,['David R. Ellis'],25059
602,['Gerald Potterton'],11827
603,['Kevin Yagher'],8766
604,['Matt Reeves'],23570
605,['Franco Zeffirelli'],47333
606,['Anna Campion'],54850
607,['Franco Brusati'],51242
608,['Wolfgang Reitherman'],10112
609,['Pedro Almodóvar'],4307
610,['Fernando Trueba'],46029
611,['Bill Couturié'],32308
612,['Werner Herzog'],88893
613,['André Téchiné'],52873
614,[],123505
615,['Mika Kaurismäki'],340210
616,['Férid Boughedir'],44281
617,['Martin Lawrence'],28121
618,['Stacy Title'],12520
619,['Gregory Hoblit'],1592
620,['Clément Virgo'],166901
621,['Bruno Barreto'],36447
622,['Paul Sabella'],19042
623,['Ken Loach'],38884
624,['Hal Salwen'],47449
625,['Jonathan R. Betuel'],36259
626,['Richard Pearce'],41852
627,['Todd Verow'],40926
628,['Jonathan Lynn'],9099
629,['Tim Sullivan'],2021
630,['Spike Lee'],61752
631,['Jeremiah S. Chechik'],10988
632,['Hervé Palud'],11479
633,['Martin Enlen'],398959
634,['Carlo Rola'],287305
635,[],339428
636,['Claude Sautet'],12652
637,['Edward Zwick'],10684
638,['Brian De Palma'],954
639,['Friðrik Þór Friðriksson'],68445
640,['Pen Densham'],18989
641,['Sönke Wortmann'],10801
642,['Park Chul-soo'],54285
643,['Rob Cohen'],8840
644,['Joseph Vilsmaier'],278978
645,['Michael Verhoeven'],124625
646,['Steve Rash'],11107
647,['Gray Hofmeyr'],16417
648,['Richard Wherrett'],70934
649,['René Clément'],10363
650,['Anthony Hopkins'],161070
651,['Henry Selick'],10539
652,['James Foley'],10543
653,['Kelly Makin'],18414
654,['Paul Mazursky'],47502
655,['Emir Kusturica'],11902
656,['Bo Widerberg'],27098
657,['Alan Mehrez'],25087
658,['Satyajit Ray'],5801
659,['Satyajit Ray'],896
660,['Jim Mallon'],3065
661,[],318177
662,['Joe Pytka'],2300
663,['Roger Vadim'],8069
664,['Catherine Cyran'],288173
665,['Brett Piper'],187851
666,['George Hickenlooper'],27768
667,['Peter Yates'],221917
668,['Jean-Luc Godard'],8072
669,['Bertrand Tavernier'],35797
670,['Mika Kaurismäki'],88030
671,['Claude Chabrol'],185191
672,['Gordon Willis'],83857
673,['Randal Kleiser'],33245
674,['Michael Blakemore'],124460
675,['Simon Wincer'],27281
676,['Margarethe von Trotta'],105045
677,['Richard Benjamin'],40001
678,['Norberto Barba'],29621
679,['Eli Cohen'],117730
680,['Robert Mandel'],20762
681,['Pat Verducci'],37144
682,['Michael Winterbottom'],48260
683,['Steven Baigelman'],12656
684,['Zalman King'],38867
685,['Barry Caillier'],277270
686,['Patrick Read Johnson'],25969
687,['Stijn Coninx'],44103
688,['John Cassavetes'],753
689,['Stacy Cochran'],43634
690,['Jean-Claude Van Damme'],9103
691,['Mark Joffe'],90214
692,['Steve Gomer'],29649
693,['Lee Tamahori'],10990
694,['Michael Lehmann'],8866
695,['George Scribner'],12233
696,['Tom DeCerchio'],23449
697,['Alan Shapiro'],36355
698,['Angela Pope'],37667
699,['Betty Kaplan'],90148
700,['Jim Jarmusch'],922
701,['Jean-Paul Rappeneau'],11876
702,['Jack Hill '],52633
703,['Manuel Gómez Pereira'],62364
704,['Jean-Marie Poiré'],11687
705,['Harold Ramis'],9304
706,['Brett Thompson'],73183
707,['Francesco Sframeli'],131232
708,['Andrew Fleming'],9100
709,['Reginald Hudlin'],20759
710,['Bruce Beresford'],46063
711,[],365371
712,['John Schlesinger'],32513
713,['Stephen Quay'],40651
714,['Phil Joanou'],36915
715,['Larry Cohen'],40507
716,['Michael Bay'],9802
717,['Harvey Miller'],25697
718,['Michele Soavi'],21588
719,['Jan de Bont'],664
720,['David Hogan'],11867
721,['Maurice Pialat'],47119
722,['Gabriel Barylli'],314352
723,['Mamoru Oshii'],9323
724,['Tom Holland'],10280
725,['Rick Friedberg'],10535
726,['Udayan Prasad'],124613
727,['Nick Park'],532
728,['Abraham Polonsky'],26744
729,['John Landis'],16299
730,['David Twohy'],10547
731,['Robert Z. Leonard'],245268
732,['Stanley Kubrick'],935
733,['Guy Maddin'],55613
734,"[""John O'Brien""]",215107
735,['John Irvin'],41007
736,['Kevin James Dobson'],35645
737,['Victor Saville'],110465
738,['Helena Solberg'],255546
739,['Wong Kar-wai'],40751
740,['Ebrahim Forouzesh'],275096
741,['Freida Lee Mock'],85778
742,['Joseph Vilsmaier'],11101
743,['Simon Wincer'],9826
744,['Andrew Bergman'],9879
745,['David Keating'],63564
746,['James Mangold'],22621
747,['Francis Ford Coppola'],7095
748,['Mary Harron'],26890
749,['Charles Matthau'],46732
750,['Goran Paskaljević'],124633
751,['Mwezé Ngangura'],202425
752,['Jean-Pierre Bekolo'],196940
753,['Djibril Diop Mambéty'],77771
754,['Gaston Kaboré'],181083
755,['Federico Fellini'],41225
756,['Henry Jaglom'],188589
757,['Robby Henson'],87190
758,['Danny Boyle'],627
759,['Scott Winant'],32872
760,['Roland Emmerich'],602
761,['Bernardo Bertolucci'],14553
762,['Tony Scott'],9566
763,['Gary Trousdale'],10545
764,['Ben Stiller'],9894
765,['Bobby Farrelly'],11543
766,['Chuck Russell'],9268
767,['Carma Hinton'],52059
768,['Tom Shadyac'],9327
769,['María Luisa Bemberg'],123763
770,['Lucian Pintilie'],81949
771,['Gazdag Gyula'],42005
772,['Gérard Mordillat'],124306
773,['Mel Chionglo'],183955
774,['Alexandre Rockwell'],44535
775,['Christopher Larkin'],44495
776,['Laurent Heynemann  '],78285
777,['Rob Cohen'],11228
778,['Peter Jackson'],10779
779,['John Sayles'],26748
780,['Bronwen Hughes'],38223
781,['Jon Turteltaub'],9294
782,['Nicole Holofcener'],49963
783,['Edward Burns'],11363
784,['Joel Schumacher'],1645
785,['Michael Corrente'],31546
786,['Éric Rohmer'],77056
787,['Fraser Clarke Heston'],36344
788,['Kevin Hooks'],18550
789,['Paul Michael Glaser'],11511
790,['Ildikó Enyedi'],172198
791,['Howard Franklin'],34170
792,['Mitch Marcus'],281085
793,['Jaime Hellman'],109478
794,['Nicolas Roeg'],124645
795,['Arlene Sanford'],12606
796,['Maurizio Nichetti'],69895
797,['Luis Buñuel'],35206
798,['Paul Turner'],151489
799,['Éric Rohmer'],4837
800,['Peter Sehr'],12632
801,['Rolf Silber'],9098
802,['Peter Weck'],282919
803,['Manoel de Oliveira'],124614
804,['Steve Barron'],18975
805,['John Payson'],11962
806,['Hugh Wilson'],2925
807,['Nigel Finch'],28628
808,['Ron Howard'],3595
809,['Hart Bochner'],9308
810,['Doug Ellin'],92381
811,['Annette Haywood-Carter'],18555
812,['Andrew Davis'],12123
813,['Danny DeVito'],10830
814,['Douglas McGrath'],3573
815,['Tim Pope'],10546
816,['Harry Winer'],18862
817,['Georges Franju'],31417
818,['Gilbert Adler'],9431
819,['John Rubino'],124619
820,['Yin Li'],297645
821,['Yim Ho'],48144
822,['Hal Hartley'],46986
823,['Marcus DeLeon'],144982
824,['Lee David Zlotoff'],47907
825,['John Carpenter'],10061
826,['Tran Anh Hung'],36266
827,['Julian Schnabel'],549
828,['Ron Shelton'],10478
829,['Rolf de Heer'],66634
830,['Keisuke Kinoshita'],116690
831,['Nicole Garcia'],213917
832,['Leone Pompucci'],145925
833,['Zheng Jun-Li'],100914
834,['Francis Ford Coppola'],238
835,['Sönke Wortmann'],159
836,['Stanley Tong'],11134
837,['Lisa Krueger'],88224
838,['Mikio Naruse'],132641
839,['Gillies MacKinnon'],42758
840,['Lana Wachowski'],9303
841,['Arthur Hiller'],23945
842,['John Ruane'],37820
843,['Robert Altman'],22479
844,['Christopher Cain'],9054
845,['Peter Shaner'],241058
846,['Tsai Ming-liang'],11985
847,['Daniel Schmid'],10232
848,['Tim Metcalfe'],59569
849,['Izidore K. Musallam'],410921
850,['Stanley Tong'],38955
851,['Jim McKay'],110513
852,['Karim Dridi'],114089
853,['Peter Hyams'],11015
854,['John Frankenheimer'],9306
855,['David M. Evans'],12559
856,['David Koepp'],58770
857,['Gary Winick'],124851
858,['Norman Jewison'],3587
859,['Ernest R. Dickerson'],10723
860,['Nick Hamm'],56077
861,['Roy Allen Smith'],19004
862,['Theo van Gogh'],101230
863,[],253632
864,['Joe Chappelle'],10987
865,['Trevor Nunn'],44705
866,['Keith Gordon'],20318
867,['Max Ophüls'],43596
868,['Jan Jakub Kolski'],79782
869,['André Téchiné'],26933
870,['Sam Wood'],27854
871,['George Cukor'],981
872,['Stanley Donen'],872
873,['Vincente Minnelli'],2769
874,['Stanley Donen'],13320
875,['Blake Edwards'],164
876,['Alfred Hitchcock'],426
877,['Alfred Hitchcock'],567
878,['Frank Capra'],3078
879,['George Cukor'],13528
880,['Mark Sandrich'],28288
881,['Alfred Hitchcock'],213
882,['Billy Wilder'],284
883,['Billy Wilder'],239
884,['Stanley Donen'],4808
885,['Michael Curtiz'],289
886,['John Huston'],963
887,['George Cukor'],11113
888,['Billy Wilder'],6620
889,['William Wyler'],804
890,['Walter Lang'],26531
891,['Vincente Minnelli'],909
892,['Victor Fleming'],630
893,['Victor Fleming'],770
894,['Richard Benjamin'],31044
895,['Billy Wilder'],599
896,['Orson Welles'],15
897,['Stanley Kubrick'],62
898,['Mitchell Leisen'],121357
899,['Joseph L. Mankiewicz'],705
900,['George Cukor'],22490
901,['Alfred Hitchcock'],223
902,['Alfred Hitchcock'],25670
903,['Alfred Hitchcock'],303
904,['Alfred Hitchcock'],4174
905,['Leo McCarey'],8356
906,['Alfred Hitchcock'],381
907,['Vincente Minnelli'],20758
