crew,title,release_date,return,budget,revenue
['woody allen'],Mighty Aphrodite,1995-09-13,0.4466666666666666,15000000.0,6700000.0
['gianni amelio'],Lamerica,1994-01-01,0.0,0.0,0.0
['holly goldberg sloan'],The Big Green,1995-09-29,0.0,0.0,0.0
['ulu grosbard'],Georgia,1995-05-19,0.0,0.0,0.0
['robert tinnell'],Kids of the Round Table,1997-07-08,0.0,0.0,0.0
['jodie foster'],Home for the Holidays,1995-11-02,inf,0.0,17519169.0
['michael radford'],The Postman,1994-09-22,0.0,0.0,0.0
['robert lepage'],The Confessional,1995-09-29,0.0,0.0,0.0
['frank oz'],The Indian in the Cupboard,1995-07-14,0.0,45000000.0,0.0
['john schlesinger'],Eye for an Eye,1996-01-12,0.0,20000000.0,0.0
['stephen herek'],Mr. Holland's Opus,1995-12-29,inf,0.0,106269971.0
['paris barclay'],Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,0.0,0.0,0.0
['bill bennett'],Two If by Sea,1996-01-12,0.0,0.0,0.0
['jason bloom'],Bio-Dome,1996-01-12,0.0,15000000.0,0.0
['farhad mann'],Lawnmower Man 2: Beyond Cyberspace,1996-01-12,inf,0.0,2409225.0
['james foley'],Two Bits,1995-10-22,0.0,0.0,0.0
['josiane balasko'],French Twist,1995-02-08,0.0,0.0,0.0
['f. gary gray'],Friday,1995-04-26,8.061690857142857,3500000.0,28215918.0
['robert rodriguez'],From Dusk Till Dawn,1996-01-19,1.359821894736842,19000000.0,25836616.0
['andrew sipes'],Fair Game,1995-11-03,0.23068954,50000000.0,11534477.0
['noah baumbach'],Kicking and Screaming,1995-10-06,inf,0.0,718490.0
['claude lelouch'],Les Miserables,1995-03-22,0.0,0.0,0.0
['michael goldenberg'],Bed of Roses,1996-01-26,inf,0.0,19030691.0
['steve miner'],Big Bully,1996-01-26,0.1361686666666666,15000000.0,2042530.0
['christian duguay'],Screamers,1995-09-08,0.28909425,20000000.0,5781885.0
['susanne ofteringer'],Nico Icon,1995-02-18,0.0,0.0,0.0
['sean penn'],The Crossing Guard,1995-11-15,0.0,0.0,0.0
['brian gibson'],The Juror,1996-02-02,0.0,44000000.0,0.0
['jafar panahi'],The White Balloon,1995-01-01,0.0,0.0,0.0
['gary fleder'],Things to Do in Denver When You're Dead,1995-12-01,0.06622075,8000000.0,529766.0
['marleen gorris'],Antonia's Line,1995-09-12,0.0,900000.0,0.0
['tim reid'],Once Upon a Time... When We Were Colored,1996-01-26,0.0,0.0,0.0
['henry jaglom'],Last Summer in the Hamptons,1995-11-22,0.0,0.0,0.0
['philip haas'],Angels and Insects,1995-09-10,0.0,0.0,0.0
['ridley scott'],White Squall,1996-02-02,0.2710526315789474,38000000.0,10300000.0
['ken kwapis'],Dunston Checks In,1996-01-12,0.0,16000000.0,0.0
['penelope spheeris'],Black Sheep,1996-02-01,inf,0.0,32.0
['john badham'],Nick of Time,1995-11-22,1.000732370443081,8169363.0,8175346.0
['john duigan'],The Journey of August King,1995-09-14,0.0,0.0,0.0
['stephen frears'],Mary Reilly,1996-02-23,0.2633915319148936,47000000.0,12379402.0
['wes craven'],Vampire in Brooklyn,1995-10-26,1.4142857142857144,14000000.0,19800000.0
['ted demme'],Beautiful Girls,1996-02-09,0.0,0.0,0.0
['john woo'],Broken Arrow,1996-02-09,3.00540294,50000000.0,150270147.0
['kenneth branagh'],A Midwinter's Tale,1995-12-01,0.0,0.0,0.0
['mathieu kassovitz'],La Haine,1995-05-31,0.0,3000000.0,0.0
['paul w.s. anderson'],Shopping,1994-12-06,0.0,0.0,0.0
['nick broomfield'],Heidi Fleiss: Hollywood Madam,1995-12-27,0.0,0.0,0.0
['harold becker'],City Hall,1996-02-16,0.0,0.0,0.0
['wes anderson'],Bottle Rocket,1996-02-21,0.0800098571428571,7000000.0,560069.0
['nick castle'],Mr. Wrong,1996-02-16,0.0,0.0,0.0
['john dahl'],Unforgettable,1996-02-23,0.0,18000000.0,0.0
['dennis dugan'],Happy Gilmore,1996-02-16,3.43375825,12000000.0,41205099.0
['clint eastwood'],The Bridges of Madison County,1995-05-28,7.584025708333333,24000000.0,182016617.0
['doris dörrie'],Nobody Loves Me,1994-11-07,0.0,0.0,0.0
['brian henson'],Muppet Treasure Island,1996-02-16,inf,0.0,34327391.0
['robert leacock'],Catwalk,1995-12-08,0.0,0.0,0.0
['james bruce'],Headless Body in Topless Bar,1995-05-20,0.0,0.0,0.0
['mel gibson'],Braveheart,1995-05-24,2.9166666666666665,72000000.0,210000000.0
['martin scorsese'],Taxi Driver,1976-02-07,21.74044153846154,1300000.0,28262574.0
['stanley tong'],Rumble in the Bronx,1995-01-30,4.3189396,7500000.0,32392047.0
['barbet schroeder'],Before and After,1996-02-23,0.0,35000000.0,0.0
['mort ransen'],Margaret's Museum,1995-09-13,0.0,0.0,0.0
['étienne chatiliez'],Happiness Is in the Field,1995-01-31,0.0,13365000.0,0.0
['jon blair'],Anne Frank Remembered,1995-06-08,inf,0.0,1.0
['benjamin ross'],The Young Poisoner's Handbook,1995-01-20,0.0,0.0,0.0
['eric schaeffer'],If Lucy Fell,1996-03-08,0.0,0.0,0.0
['andrew davis'],Steal Big Steal Little,1995-09-29,0.25112556,25000000.0,6278139.0
['charles t. kanganis'],Race the Sun,1996-03-22,0.0,0.0,0.0
['john n. smith'],The Boys of St. Vincent,1992-12-06,0.0,0.0,0.0
['reginald hudlin'],Boomerang,1992-06-30,1.7525,40000000.0,70100000.0
['wong kar-wai'],Chungking Express,1994-07-14,0.0,0.0,0.0
['giuseppe tornatore'],The Star Maker,1995-09-21,0.0,0.0,0.0
['david o. russell'],Flirting with Disaster,1996-03-22,2.100348285714286,7000000.0,14702438.0
['peter macdonald'],The Neverending Story III: Escape from Fantasia,1994-10-26,0.0,17000000.0,0.0
['moufida tlatli'],The Silences of the Palace,1994-09-30,0.0,0.0,0.0
['michel negroponte'],Jupiter's Wife,1995-01-01,0.0,0.0,0.0
['bryan gordon'],Pie in the Sky,1996-02-09,0.0,0.0,0.0
['rebecca miller'],Angela,1995-01-01,0.0,0.0,0.0
['michael lindsay-hogg'],Frankie Starlight,1995-11-22,0.0,0.0,0.0
['william friedkin'],Jade,1995-10-13,0.1970322,50000000.0,9851610.0
['ángel muñiz'],Nueba Yol,1995-08-16,0.0,0.0,0.0
['craig baldwin'],Sonic Outlaws,1995-08-01,0.0,0.0,0.0
['david s. ward'],Down Periscope,1996-03-01,0.0,0.0,0.0
['mark rappaport'],From the Journals of Jean Seberg,1995-09-08,0.0,0.0,0.0
['dirk shafer'],Man of the Year,1995-09-15,inf,0.0,209935.0
['terence davies'],The Neon Bible,1995-08-23,0.0,0.0,0.0
['sandip ray'],Target,1995-08-01,0.0,0.0,0.0
['jon avnet'],Up Close & Personal,1996-03-01,0.0,60000000.0,0.0
['mike nichols'],The Birdcage,1996-03-08,5.976146870967742,31000000.0,185260553.0
['jakov sedlar'],Virgin Mary,1995-10-12,0.0,0.0,0.0
['edward burns'],The Brothers McMullen,1995-08-09,0.0,0.0,0.0
['michael bay'],Bad Boys,1995-04-07,7.442474947368421,19000000.0,141407024.0
['christopher cain'],The Amazing Panda Adventure,1995-08-25,0.0,0.0,0.0
['scott kalvert'],The Basketball Diaries,1995-04-21,0.0,0.0,0.0
['mike newell'],An Awfully Big Adventure,1995-07-21,0.21288625,4000000.0,851545.0
['hal hartley'],Amateur,1994-08-05,0.0,0.0,0.0
['ron howard'],Apollo 13,1995-06-30,6.831498711538462,52000000.0,355237933.0
['michael caton-jones'],Rob Roy,1995-04-13,1.1284611071428572,28000000.0,31596911.0
['abel ferrara'],The Addiction,1995-01-10,0.0,0.0,0.0
['joel schumacher'],Batman Forever,1995-06-16,3.36529144,100000000.0,336529144.0
['luis buñuel'],Belle de Jour,1967-05-24,0.0,0.0,0.0
['john boorman'],Beyond Rangoon,1995-05-24,0.0,0.0,0.0
['paul auster'],Blue in the Face,1995-09-15,0.6375,2000000.0,1275000.0
['michael moore'],Canadian Bacon,1995-06-08,0.0161912727272727,11000000.0,178104.0
['brad silberling'],Casper,1995-05-26,5.75856388,50000000.0,287928194.0
['spike lee'],Clockers,1995-09-15,0.52286072,25000000.0,13071518.0
['frank marshall'],Congo,1995-06-09,3.04044202,50000000.0,152022101.0
['tony scott'],Crimson Tide,1995-05-12,2.969569716981132,53000000.0,157387195.0
['terry zwigoff'],Crumb,1994-09-10,inf,0.0,3174695.0
['robert rodriguez'],Desperado,1995-08-25,3.6293492857142855,7000000.0,25405445.0
['carl franklin'],Devil in a Blue Dress,1995-09-15,0.5978082222222222,27000000.0,16140822.0
['john mctiernan'],Die Hard: With a Vengeance,1995-05-19,4.067796288888889,90000000.0,366101666.0
['gregg araki'],The Doom Generation,1995-10-27,0.0,0.0,0.0
['christopher menaul'],Feast of July,1995-10-12,0.0,0.0,0.0
['jerry zucker'],First Knight,1995-07-07,2.320007909090909,55000000.0,127600435.0
['dwight h. little'],Free Willy 2 - The Adventure Home,1995-07-19,0.0,0.0,0.0
['iain softley'],Hackers,1995-09-14,0.3781864,20000000.0,7563728.0
['christopher ashley'],Jeffrey,1995-08-18,0.0,0.0,0.0
['robert longo'],Johnny Mnemonic,1995-05-26,0.7630288,25000000.0,19075720.0
['danny cannon'],Judge Dredd,1995-06-30,1.2610386777777778,90000000.0,113493481.0
['john fortenberry'],Jury Duty,1995-04-12,inf,0.0,17014653.0
['larry clark'],Kids,1995-07-28,4.941477333333333,1500000.0,7412216.0
['tom dicillo'],Living in Oblivion,1995-01-20,2.297504,500000.0,1148752.0
['clive barker'],Lord of Illusions,1995-08-25,0.0,0.0,0.0
['denys arcand'],Love & Human Remains,1993-05-20,0.0,0.0,0.0
['antonia bird'],Mad Love,1995-05-26,inf,0.0,15453274.0
['kevin smith'],Mallrats,1995-10-20,0.3537601666666666,6000000.0,2122561.0
['bryan spicer'],Mighty Morphin Power Rangers: The Movie,1995-06-30,4.4,15000000.0,66000000.0
['david anspaugh'],Moonlight and Valentino,1995-09-29,0.0,0.0,0.0
['anthony waller'],Mute Witness,1995-09-28,0.5,2.0,1.0
['michael almereyda'],Nadja,1994-09-13,0.0,0.0,0.0
['irwin winkler'],The Net,1995-07-28,5.028543863636363,22000000.0,110627965.0
['chris columbus'],Nine Months,1995-07-12,inf,0.0,69660733.0
['daisy von scherler mayer'],Party Girl,1995-06-09,3.1491333333333333,150000.0,472370.0
['gregory widen'],The Prophecy,1995-09-01,2.0,8.0,16.0
['norman rené'],Reckless,1995-11-17,0.0,0.0,0.0
['todd haynes'],Safe,1995-06-23,0.0,0.0,0.0
['roland joffé'],The Scarlet Letter,1995-10-13,0.20764814,50000000.0,10382407.0
[],The Show,1995-08-25,0.0,0.0,0.0
['paul verhoeven'],Showgirls,1995-09-22,0.4522389777777778,45000000.0,20350754.0
['wayne wang'],Smoke,1995-06-09,1.1927757142857145,7000000.0,8349430.0
['lasse hallström'],Something to Talk About,1995-08-04,inf,0.0,50892160.0
['roger donaldson'],Species,1995-07-07,3.2392600857142857,35000000.0,113374103.0
['james keach'],The Stars Fell on Henrietta,1995-09-15,0.0,0.0,0.0
['kathryn bigelow'],Strange Days,1995-10-13,0.1895069285714285,42000000.0,7959291.0
['jacques demy'],The Umbrellas of Cherbourg,1964-02-19,0.0,0.0,0.0
['wesley strick'],The Tie That Binds,1995-09-08,0.4128571428571428,14000000.0,5780000.0
['martha coolidge'],Three Wishes,1995-10-27,inf,0.0,7025496.0
['agnieszka holland'],Total Eclipse,1995-11-02,inf,0.0,339889.0
['beeban kidron'],"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,inf,0.0,47774193.0
['geoff murphy'],Under Siege 2: Dark Territory,1995-07-13,1.738734716666667,60000000.0,104324083.0
['diane keaton'],Unstrung Heroes,1995-09-15,0.0,0.0,0.0
['douglas keeve'],Unzipped,1995-08-11,0.0,0.0,0.0
['alfonso aráu'],A Walk in the Clouds,1995-08-11,2.50062535,20000000.0,50012507.0
['kevin reynolds'],Waterworld,1995-07-28,1.5098184,175000000.0,264218220.0
['desmond nakano'],White Man's Burden,1995-12-01,0.0,8000000.0,0.0
['walter hill'],Wild Bill,1995-12-01,0.0,30000000.0,0.0
['mike figgis'],The Browning Version,1994-10-12,0.0,0.0,0.0
['greg beeman'],Bushwhacked,1995-08-04,0.0,0.0,0.0
['nikita mikhalkov'],Burnt by the Sun,1994-05-01,0.9344653571428572,2800000.0,2616503.0
['milčo mančevski'],Before the Rain,1994-06-09,inf,0.0,763847.0
['richard linklater'],Before Sunrise,1995-01-27,2.214162,2500000.0,5535405.0
['tamra davis'],Billy Madison,1995-02-10,2.6488734,10000000.0,26488734.0
['guy ferland'],The Babysitter,1995-10-17,0.0,0.0,0.0
['herbert ross'],Boys on the Side,1995-02-03,1.1166666666666667,21000000.0,23450000.0
['peter horton'],The Cure,1995-04-21,0.0,0.0,0.0
['stuart gordon'],Castle Freak,1995-08-04,0.0,0.0,0.0
"[""pat o'connor""]",Circle of Friends,1995-03-16,0.0,0.0,0.0
['kevin smith'],Clerks,1994-09-13,116.70851851851852,27000.0,3151130.0
['jeremy leven'],Don Juan DeMarco,1994-10-01,0.888,25000000.0,22200000.0
['barry levinson'],Disclosure,1994-12-09,3.891183436363636,55000000.0,214015089.0
['rené bonnière'],Dream Man,1995-01-01,0.0,0.0,0.0
['john badham'],Drop Zone,1994-12-08,0.0,45000000.0,0.0
['jack baran'],Destiny Turns on the Radio,1995-04-28,0.0,0.0,0.0
['roman polanski'],Death and the Maiden,1994-05-04,0.0,0.0,0.0
['taylor hackford'],Dolores Claiborne,1995-03-24,0.0,0.0,0.0
['peter farrelly'],Dumb and Dumber,1994-12-16,15.454710875,16000000.0,247275374.0
['ang lee'],Eat Drink Man Woman,1994-08-03,inf,0.0,7294403.0
['atom egoyan'],Exotica,1994-09-24,0.0,0.0,0.0
['garry marshall'],Exit to Eden,1994-10-14,inf,0.0,6841570.0
['tim burton'],Ed Wood,1994-09-27,0.3270809444444444,18000000.0,5887457.0
['lawrence kasdan'],French Kiss,1995-05-05,0.0,0.0,0.0
['billy crystal'],Forget Paris,1995-05-19,0.0,0.0,0.0
['phillip borsos'],Far from Home: The Adventures of Yellow Dog,1995-01-13,0.0,0.0,0.0
['kevin lima'],A Goofy Movie,1995-04-07,inf,0.0,35348597.0
['brett leonard'],Hideaway,1995-03-03,0.813417,15000000.0,12201255.0
['carlo carlei'],Fluke,1995-06-02,0.0,0.0,0.0
['gérard corbiau'],Farinelli,1994-12-07,0.0,0.0,0.0
['mark lewis'],Gordy,1995-05-12,inf,0.0,3992809.0
['art clokey'],Gumby: The Movie,1995-12-01,0.0,0.0,0.0
['charles burnett'],The Glass Shield,1994-09-16,0.0,0.0,0.0
['steve james'],Hoop Dreams,1994-09-12,11.186587142857142,700000.0,7830611.0
['peter jackson'],Heavenly Creatures,1994-09-02,0.609827,5000000.0,3049135.0
['randall miller'],Houseguest,1995-01-06,2.507167238095238,10500000.0,26325256.0
['bernard rose'],Immortal Beloved,1994-12-16,0.0,120.0,0.0
['steven brill'],Heavyweights,1995-02-17,inf,0.0,17689177.0
['j. f. lawton'],The Hunted,1995-02-24,0.0,0.0,0.0
['fred schepisi'],I.Q.,1994-12-24,0.0,25000000.0,0.0
['neil jordan'],Interview with the Vampire,1994-11-11,3.7277434666666656,60000000.0,223664608.0
['james ivory'],Jefferson in Paris,1995-03-31,0.1767142857142857,14000000.0,2474000.0
['james melkonian'],The Jerky Boys,1995-02-03,0.0,0.0,0.0
['ivan reitman'],Junior,1994-11-22,0.6166666666666667,60000000.0,37000000.0
['arne glimcher'],Just Cause,1995-02-17,0.0,0.0,0.0
['michael gottlieb'],A Kid in King Arthur's Court,1995-08-11,0.0,0.0,0.0
['barbet schroeder'],Kiss of Death,1995-04-21,0.0,40000000.0,0.0
['george lucas'],Star Wars,1977-05-25,70.49072790909091,11000000.0,775398007.0
['gillian armstrong'],Little Women,1994-12-21,0.0,18000000.0,0.0
['alfonso cuarón'],A Little Princess,1995-05-10,0.0,17000000.0,0.0
['ken loach'],Ladybird Ladybird,1994-02-18,0.0,0.0,0.0
['claude chabrol'],L'Enfer,1994-02-16,0.0,10000000.0,0.0
['alfonso aráu'],Like Water for Chocolate,1992-04-16,10.832734,2000000.0,21665468.0
['edward zwick'],Legends of the Fall,1994-12-16,5.354629433333334,30000000.0,160638883.0
['nick castle'],Major Payne,1995-03-24,0.0,0.0,0.0
['james gray'],Little Odessa,1994-10-27,0.0,0.0,0.0
['allison anders'],Mi Vida Loca,1994-06-08,0.0,0.0,0.0
['glenn gordon caron'],Love Affair,1994-10-21,0.0,60000000.0,0.0
['stephen gyllenhaal'],Losing Isaiah,1995-03-17,0.4472803529411764,17000000.0,7603766.0
['nicholas hytner'],The Madness of King George,1994-12-28,0.0,0.0,0.0
['kenneth branagh'],Mary Shelley's Frankenstein,1994-11-04,2.4890288,45000000.0,112006296.0
['james orr'],Man of the House,1995-03-03,0.0,0.0,0.0
['nora ephron'],Mixed Nuts,1994-12-21,0.0,15000000.0,0.0
['richard benjamin'],Milk Money,1994-08-31,inf,0.0,18137661.0
['les mayfield'],Miracle on 34th Street,1994-11-18,inf,0.0,46264384.0
['david frankel'],Miami Rhapsody,1995-01-27,0.8333333333333334,6.0,5.0
['gregory nava'],My Family,1995-05-03,0.0,5500000.0,0.0
['marc rocco'],Murder in the First,1995-01-20,inf,0.0,17381942.0
['robert benton'],Nobody's Fool,1994-12-23,0.0,0.0,0.0
['michael apted'],Nell,1994-12-23,3.441413451612904,31000000.0,106683817.0
['nick gomez'],New Jersey Drive,1995-04-19,0.0,0.0,0.0
['tōru murakawa'],New York Cop,1993-08-14,0.0,0.0,0.0
['vadim jean'],Beyond Bedlam,1994-04-22,0.0,4800000.0,0.0
['albert pyun'],Nemesis 2 - Nebula,1995-09-26,0.0,0.0,0.0
['alan jacobs'],Nina Takes a Lover,1995-03-03,0.0,0.0,0.0
['oliver stone'],Natural Born Killers,1994-08-25,1.4789048823529412,34000000.0,50282766.0
['norman jewison'],Only You,1994-09-17,0.0,0.0,0.0
['lee tamahori'],Once Were Warriors,1994-09-02,inf,0.0,2201126.0
['anne goursaud'],Poison Ivy II: Lily,1996-01-16,0.0,0.0,0.0
['wolfgang petersen'],Outbreak,1995-03-10,3.7971912,50000000.0,189859560.0
['luc besson'],Leon: The Professional,1994-09-14,2.830310875,16000000.0,45284974.0
['mira nair'],The Perez Family,1995-05-12,0.2575296363636363,11000000.0,2832826.0
['joshua brand'],A Pyromaniac's Love Story,1995-04-28,0.0,0.0,0.0
['quentin tarantino'],Pulp Fiction,1994-09-10,26.74109525,8000000.0,213928762.0
['mario van peebles'],Panther,1995-11-10,inf,0.0,6834525.0
['ang lee'],Pushing Hands,1992-02-01,0.380805,400000.0,152322.0
['antonia bird'],Priest,1994-01-01,inf,0.0,4176932.0
['robert redford'],Quiz Show,1994-09-16,0.0,0.0,0.0
['kayo hatta'],Picture Bride,1995-05-05,0.0,0.0,0.0
['patrice chéreau'],Queen Margot,1994-05-13,0.0,0.0,0.0
['sam raimi'],The Quick and the Dead,1995-02-09,0.579764375,32000000.0,18552460.0
['peter yates'],Roommates,1995-03-01,0.5636363636363636,22000000.0,12400000.0
['robert altman'],Prêt-à-Porter,1994-12-23,0.7533768666666667,15000000.0,11300653.0
['krzysztof kieślowski'],Three Colors: Red,1994-05-27,0.0,0.0,0.0
['krzysztof kieślowski'],Three Colors: Blue,1993-01-10,0.0,0.0,0.0
['krzysztof kieślowski'],Three Colors: White,1994-01-26,0.0,0.0,0.0
['he ping'],"Red Firecracker, Green Firecracker",1994-10-14,0.0,0.0,0.0
['fred gerber'],Rent-a-Kid,1995-01-01,0.0,0.0,0.0
['george mihalka'],Relative Fear,1995-10-03,0.0,0.0,0.0
['harold ramis'],Stuart Saves His Family,1995-04-12,0.0,0.0,0.0
['richard rich'],The Swan Princess,1994-11-18,0.2791902285714285,35000000.0,9771658.0
['john sayles'],The Secret of Roan Inish,1994-01-01,0.0,0.0,0.0
['luis llosa'],The Specialist,1994-10-07,3.785835155555556,45000000.0,170362582.0
['roland emmerich'],Stargate,1994-10-27,3.5739502181818184,55000000.0,196567262.0
['john pasquin'],The Santa Clause,1994-11-10,8.628788954545454,22000000.0,189833357.0
['frank darabont'],The Shawshank Redemption,1994-09-23,1.13365876,25000000.0,28341469.0
['danny boyle'],Shallow Grave,1994-12-22,0.0,0.0,0.0
['scott mcgehee'],Suture,1993-09-14,inf,0.0,102780.0
['tomás gutiérrez alea'],Strawberry and Chocolate,1993-01-01,0.0,0.0,0.0
['george huang'],Swimming with Sharks,1994-09-10,0.0,0.0,0.0
['kevin dowling'],The Sum of Us,1994-07-12,0.0,32.0,0.0
['kelly makin'],Senior Trip,1995-09-08,0.0,0.0,0.0
['zhang yimou'],To Live,1994-06-30,0.0,0.0,0.0
['rachel talalay'],Tank Girl,1995-03-31,0.1625798,25000000.0,4064495.0
['ernest r. dickerson'],Tales from the Crypt: Demon Knight,1995-01-13,0.0,0.0,0.0
['david carson'],Star Trek: Generations,1994-11-17,3.1578947368421053,38000000.0,120000000.0
['rusty cundieff'],Tales from the Hood,1995-05-24,2.0,6000000.0,12000000.0
['brian gilbert'],Tom & Viv,1994-04-15,0.0,0.0,0.0
['john carpenter'],Village of the Damned,1995-04-28,0.0,0.0,0.0
['peter segal'],Tommy Boy,1995-03-31,inf,0.0,32648673.0
['louis malle'],Vanya on 42nd Street,1994-09-13,0.0,0.0,0.0
['steven soderbergh'],The Underneath,1995-04-28,0.0,6500000.0,0.0
['preston a. whitmore ii'],The Walking Dead,1995-02-24,0.0,0.0,0.0
['lasse hallström'],What's Eating Gilbert Grape,1993-12-17,0.9120695454545454,11000000.0,10032765.0
['brett leonard'],Virtuosity,1995-08-04,0.8016,30000000.0,24048000.0
['jon turteltaub'],While You Were Sleeping,1995-04-21,10.709236235294116,17000000.0,182057016.0
['jon avnet'],The War,1994-11-04,0.0,0.0,0.0
['mina shum'],Double Happiness,1994-09-07,inf,0.0,759393.0
['p.j. hogan'],Muriel's Wedding,1994-09-29,5.039879666666667,3000000.0,15119639.0
['melanie mayron'],The Baby-Sitters Club,1995-08-18,0.0,0.0,0.0
['tom shadyac'],Ace Ventura: Pet Detective,1994-02-04,7.1478264,15000000.0,107217396.0
['stephan elliott'],"The Adventures of Priscilla, Queen of the Desert",1994-05-31,inf,0.0,11220670.0
['iain softley'],Backbeat,1994-04-01,0.0,0.0,0.0
['roman polanski'],Bitter Moon,1992-09-02,0.372561,5000000.0,1862805.0
['woody allen'],Bullets Over Broadway,1994-10-14,0.0,0.0,0.0
['phillip noyce'],Clear and Present Danger,1994-08-03,3.482059951612903,62000000.0,215887717.0
['joel schumacher'],The Client,1994-07-20,2.613671355555556,45000000.0,117615211.0
['jessie nelson'],"Corrina, Corrina",1994-08-12,0.0,0.0,0.0
['spike lee'],Crooklyn,1994-05-13,0.0,0.0,0.0
['alex proyas'],The Crow,1994-05-11,6.266666666666667,15000000.0,94000000.0
['ron shelton'],Cobb,1994-12-02,inf,0.0,1007583.0
['brian levant'],The Flintstones,1994-05-26,7.426765391304348,46000000.0,341631208.0
['robert zemeckis'],Forrest Gump,1994-07-06,12.326279981818182,55000000.0,677945399.0
['mike newell'],Four Weddings and a Funeral,1994-03-09,42.45013866666667,6000000.0,254700832.0
['john singleton'],Higher Learning,1995-01-11,inf,0.0,38290723.0
['darnell martin'],I Like It Like That,1994-10-14,inf,0.0,1777020.0
['charles shyer'],I Love Trouble,1994-06-29,1.3766059333333334,45000000.0,61947267.0
['andrew bergman'],It Could Happen to You,1994-07-29,0.0,0.0,0.0
['stephen sommers'],The Jungle Book,1994-12-23,0.0,0.0,0.0
