production_companies,title,revenue
"['dualstar productions', 'warner bros.', 'rysher entertainment', 'orr & cruickshank']",It Takes Two,0.0
['paramount pictures'],Clueless,0.0
"['miramax', 'distant horizon', 'alpine pty limited']","Cry, the Beloved Country",676525.0
"['british screen', 'mayfair entertainment international']",Richard III,0.0
"['caravan pictures', 'underworld entertainment', 'hollywood pictures']",Dead Presidents,0.0
['miramax films'],Restoration,0.0
"['new line cinema', 'threshold entertainment']",Mortal Kombat,122195920.0
"['the rank organisation', 'columbia pictures corporation']",To Die For,21284514.0
"['universal pictures', 'amblin entertainment']",How To Make An American Quilt,23574130.0
"['new line cinema', 'juno pix', 'cecchi gori pictures']",Se7en,327311859.0
"['walt disney pictures', 'walt disney feature animation']",Pocahontas,346079773.0
['alliance communications corporation'],When Night Is Falling,0.0
"['blue parrot productions', 'bad hat harry productions']",The Usual Suspects,23341568.0
,Guardian Angel,0.0
"['miramax films', 'magnolia pictures']",Mighty Aphrodite,6700000.0
,Lamerica,0.0
"['walt disney pictures', 'caravan pictures']",The Big Green,0.0
"['miramax films', 'ciby 2000']",Georgia,0.0
"['telefilm canada', 'melenny productions']",Kids of the Round Table,0.0
"['paramount pictures', 'egg pictures', 'polygram filmed entertainment']",Home for the Holidays,17519169.0
,The Postman,0.0
,The Confessional,0.0
"['paramount pictures', 'columbia pictures corporation', 'the kennedy/marshall company']",The Indian in the Cupboard,0.0
['paramount pictures'],Eye for an Eye,0.0
"['hollywood pictures', 'the charlie mopic company', 'polygram filmed entertainment', 'interscope communications']",Mr. Holland's Opus,106269971.0
"['miramax films', 'island pictures', 'ivory way productions']",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0.0
"['warner bros.', 'morgan creek productions']",Two If by Sea,0.0
"['metro-goldwyn-mayer (mgm)', 'motion picture corporation of america (mpca)', '3 arts entertainment', 'weasel productions']",Bio-Dome,0.0
['new line cinema'],Lawnmower Man 2: Beyond Cyberspace,2409225.0
['miramax films'],Two Bits,0.0
"['renn productions', 'les films flam', 'tf1 films production', 'canal+']",French Twist,0.0
['new line cinema'],Friday,28215918.0
"['a band apart', 'dimension films', 'los hooligans productions', 'miramax']",From Dusk Till Dawn,25836616.0
"['silver pictures', 'warner bros.']",Fair Game,11534477.0
"['castleberg productions', 'sandollar productions']",Kicking and Screaming,718490.0
"['les films 13', 'canal+', 'tf1']",Les Miserables,0.0
"['new line cinema', 'juno pix']",Bed of Roses,19030691.0
"['warner bros.', 'morgan creek productions']",Big Bully,2042530.0
"['the movie network (tmn)', 'allegro films', 'fuji eight company ltd.', 'fries film group', 'super ecran', 'triumph films']",Screamers,5781885.0
"['zweites deutsches fernsehen (zdf)', 'ciak filmproduktion', 'bluehorse films']",Nico Icon,0.0
['miramax films'],The Crossing Guard,0.0
['columbia pictures corporation'],The Juror,0.0
"['i.r.i.b. channel 2', 'ferdos films']",The White Balloon,0.0
['miramax films'],Things to Do in Denver When You're Dead,529766.0
"['bergen film', 'bard entertainments', 'nps televisie']",Antonia's Line,0.0
"['bet pictures', 'united image entertainme']",Once Upon a Time... When We Were Colored,0.0
,Last Summer in the Hamptons,0.0
"['playhouse international pictures', 'the samuel goldwyn company']",Angels and Insects,0.0
"['hollywood pictures', 'largo entertainment', 'scott free productions']",White Squall,10300000.0
"['twentieth century fox film corporation', 'joe wizan/todd black']",Dunston Checks In,0.0
['paramount pictures'],Black Sheep,32.0
['paramount pictures'],Nick of Time,8175346.0
"['miramax films', 'addis wechsler pictures']",The Journey of August King,0.0
"['tristar pictures', 'nfh productions']",Mary Reilly,12379402.0
['paramount pictures'],Vampire in Brooklyn,19800000.0
"['miramax films', 'woods entertainment']",Beautiful Girls,0.0
"['twentieth century fox film corporation', 'wcg entertainment productions', 'mark gordon productions']",Broken Arrow,150270147.0
"['castle rock entertainment', 'midwinter films']",A Midwinter's Tale,0.0
"['egg pictures', 'polygram filmed entertainment', 'canal+', 'les productions lazennec', 'la sept cinéma', 'kasso inc. productions', 'studio image', 'cofinergie 6']",La Haine,0.0
['channel four films'],Shopping,0.0
"['british broadcasting corporation (bbc)', 'westdeutscher rundfunk (wdr)', 'canadian broadcasting corporation (cbc)', 'cinemax reel life', 'inpictures', 'lafayette films']",Heidi Fleiss: Hollywood Madam,0.0
"['columbia pictures', 'castle rock entertainment']",City Hall,0.0
"['gracie films', 'columbia pictures corporation']",Bottle Rocket,560069.0
['touchstone pictures'],Mr. Wrong,0.0
"['metro-goldwyn-mayer (mgm)', 'dino de laurentiis company', 'spelling films']",Unforgettable,0.0
"['universal pictures', 'brillstein-grey entertainment', 'robert simonds productions']",Happy Gilmore,41205099.0
"['amblin entertainment', 'malpaso productions', 'warner bros.']",The Bridges of Madison County,182016617.0
,Nobody Loves Me,0.0
"['walt disney pictures', 'jim henson productions', 'jim henson company, the']",Muppet Treasure Island,34327391.0
,Catwalk,0.0
,Headless Body in Topless Bar,0.0
"['icon entertainment international', 'the ladd company', 'b.h. finance c.v.']",Braveheart,210000000.0
"['columbia pictures corporation', 'italo/judeo productions', 'bill/phillips']",Taxi Driver,28262574.0
"['new line cinema', 'golden harvest company']",Rumble in the Bronx,32392047.0
"['caravan pictures', 'hollywood pictures']",Before and After,0.0
"['téléfilm canada', 'skyline films', 'malofilm', 'société de développement des entreprises culturelles (sodec)', 'british screen productions', 'national film board of canada (nfb)', 'imx communications', 'glace bay pictures', 'ciné télé action', 'nova scotia film development corporation', 'ranfilm']",Margaret's Museum,0.0
"['france 2 cinéma', 'france 3 cinéma', 'studiocanal', 'les productions du champ poirier', 'téléma productions']",Happiness Is in the Field,0.0
,Anne Frank Remembered,1.0
['bavaria film and television fund'],The Young Poisoner's Handbook,0.0
"['tristar pictures', 'motion picture corporation of america (mpca)']",If Lucy Fell,0.0
['savoy pictures'],Steal Big Steal Little,6278139.0
['tristar pictures'],Race the Sun,0.0
,The Boys of St. Vincent,0.0
['paramount pictures'],Boomerang,70100000.0
"['jet tone production', 'the criterion collection']",Chungking Express,0.0
['cecchi gori group tiger cinematografica'],The Star Maker,0.0
['miramax films'],Flirting with Disaster,14702438.0
"['studio babelsberg', 'dieter geissler filmproduktion', 'cinevox filmproduktion gmbh', 'warner bros.', 'miramax']",The Neverending Story III: Escape from Fantasia,0.0
"['canal horizons', 'mat films', 'cinétéléfilms']",The Silences of the Palace,0.0
,Jupiter's Wife,0.0
,Pie in the Sky,0.0
,Angela,0.0
"['fine line features', 'channel four films', 'bórd scannán na héireann', 'canal+']",Frankie Starlight,0.0
['paramount pictures'],Jade,9851610.0
"['cigua films', ""d'pelicula""]",Nueba Yol,0.0
,Sonic Outlaws,0.0
['twentieth century fox film corporation'],Down Periscope,0.0
['couch potatoe productions'],From the Journals of Jean Seberg,0.0
,Man of the Year,209935.0
"['channel four films', 'academy', 'mayfair films', 'iberoamerica films']",The Neon Bible,0.0
,Target,0.0
"['cinergi pictures entertainment', 'touchstone pictures']",Up Close & Personal,0.0
['united artists'],The Birdcage,185260553.0
,Virgin Mary,0.0
['fox searchlight pictures'],The Brothers McMullen,0.0
"['columbia pictures', 'don simpson/jerry bruckheimer films']",Bad Boys,141407024.0
['warner bros.'],The Amazing Panda Adventure,0.0
"['new line cinema', 'island pictures']",The Basketball Diaries,0.0
"['fine line features', 'bbc', 'british screen productions', 'portman productions']",An Awfully Big Adventure,851545.0
"['channel four films', 'zenith entertainment', 'american playhouse', 'union générale cinématographique (ugc)', 'la sept cinéma', 'true fiction pictures']",Amateur,0.0
"['imagine entertainment', 'universal pictures']",Apollo 13,355237933.0
"['united artists', 'talisman productions']",Rob Roy,31596911.0
"['october films', 'guild', 'fastnet films']",The Addiction,0.0
"['warner bros.', 'polygram filmed entertainment']",Batman Forever,336529144.0
"['paris films productions', 'five films', 'robert et raymond hakim']",Belle de Jour,0.0
"['columbia pictures', 'castle rock entertainment']",Beyond Rangoon,0.0
"['miramax films', 'interal']",Blue in the Face,1275000.0
['polygram filmed entertainment'],Canadian Bacon,178104.0
"['universal pictures', 'amblin entertainment', 'the harvey entertainment company']",Casper,287928194.0
"['universal pictures', '40 acres & a mule filmworks']",Clockers,13071518.0
"['paramount pictures', 'kennedy/marshall company, the']",Congo,152022101.0
"['hollywood pictures', 'don simpson/jerry bruckheimer films']",Crimson Tide,157387195.0
['superior pictures'],Crumb,3174695.0
"['columbia pictures', 'los hooligans productions']",Desperado,25405445.0
"['tristar pictures', 'mundy lane entertainment']",Devil in a Blue Dress,16140822.0
"['twentieth century fox film corporation', 'cinergi pictures entertainment']",Die Hard: With a Vengeance,366101666.0
"['why not productions', 'desperate pictures', 'blurco', 'the teen angst movie company']",The Doom Generation,0.0
"['touchstone pictures', 'merchant ivory productions']",Feast of July,0.0
"['columbia pictures corporation', 'first knight productions']",First Knight,127600435.0
"['regency enterprises', 'alcor films', 'canal+', 'donner/shuler-donner productions', 'warner bros.']",Free Willy 2 - The Adventure Home,0.0
"['united artists', 'suftley']",Hackers,7563728.0
"['the booking office', ""workin' man films""]",Jeffrey,0.0
"['tristar pictures', 'alliance communications corporation']",Johnny Mnemonic,19075720.0
"['hollywood pictures', 'cinergi pictures entertainment']",Judge Dredd,113493481.0
['tristar pictures'],Jury Duty,17014653.0
['miramax films'],Kids,7412216.0
"['jdi productions', 'lemon sky productions']",Living in Oblivion,1148752.0
"['united artists', 'seraphim films']",Lord of Illusions,0.0
"['the ontario film development corporation', 'first choice films', 'atlantis films', 'telefilm canada', 'max films productions', 'super écran', 'société générale des industries culturelles du québec (sogic)']",Love & Human Remains,0.0
['touchstone pictures'],Mad Love,15453274.0
"['universal pictures', 'gramercy pictures', 'alphaville films', 'view askew productions']",Mallrats,2122561.0
"['twentieth century fox film corporation', 'saban entertainment', 'toei company']",Mighty Morphin Power Rangers: The Movie,66000000.0
"['polygram filmed entertainment', 'working title films']",Moonlight and Valentino,0.0
"['comet film produktion gmbh', 'avrora media', 'cobblestone pictures']",Mute Witness,1.0
['kino link company'],Nadja,0.0
['columbia pictures'],The Net,110627965.0
"['twentieth century fox film corporation', '1492 pictures']",Nine Months,69660733.0
['party productions'],Party Girl,472370.0
['dimension films'],The Prophecy,16.0
"['playhouse international pictures', 'american playhouse', 'samuel goldwyn company, the']",Reckless,0.0
"['killer films', 'american playhouse', 'kardana films', 'chemical films']",Safe,0.0
"['hollywood pictures', 'cinergi pictures entertainment']",The Scarlet Letter,10382407.0
,The Show,0.0
"['united artists', 'le studio canal+', 'carolco pictures']",Showgirls,20350754.0
['miramax films'],Smoke,8349430.0
"['spring creek productions', 'warner bros.', 'hawn / sylbert movie company']",Something to Talk About,50892160.0
['metro-goldwyn-mayer (mgm)'],Species,113374103.0
"['malpaso productions', ""butcher's run films"", 'warner bros.']",The Stars Fell on Henrietta,0.0
['lightstorm entertainment'],Strange Days,7959291.0
"['beta film', 'madeleine films', 'parc film']",The Umbrellas of Cherbourg,0.0
"['hollywood pictures', 'polygram filmed entertainment', 'interscope communications']",The Tie That Binds,5780000.0
['savoy pictures'],Three Wishes,7025496.0
"['société française de production (sfp)', 'fit productions', 'portman productions']",Total Eclipse,339889.0
"['universal pictures', 'amblin entertainment']","To Wong Foo, Thanks for Everything! Julie Newmar",47774193.0
"['regency enterprises', 'warner bros.', 'seagal/nasso productions', 'victor company of japan (jvc)', 'cutting edge films']",Under Siege 2: Dark Territory,104324083.0
['hollywood pictures'],Unstrung Heroes,0.0
,Unzipped,0.0
"['twentieth century fox film corporation', 'zucker brothers productions']",A Walk in the Clouds,50012507.0
"['universal pictures', 'gordon company', 'davis entertainment', 'licht/mueller film corporation']",Waterworld,264218220.0
"['hbo', 'a bandapart', 'rysher entertainment']",White Man's Burden,0.0
['united artists'],Wild Bill,0.0
['paramount pictures'],The Browning Version,0.0
['twentieth century fox film corporation'],Bushwhacked,0.0
"['canal+', 'studio trite', 'caméra one']",Burnt by the Sun,2616503.0
"['polygram audiovisuel', 'british screen productions']",Before the Rain,763847.0
"['detour film production', 'warner bros.']",Before Sunrise,5535405.0
['jack giarraputo productions'],Billy Madison,26488734.0
['spelling films international'],The Babysitter,0.0
"['regency enterprises', 'alcor films', 'canal+', 'new regency pictures', 'hera productions']",Boys on the Side,23450000.0
"['universal pictures', 'island world']",The Cure,0.0
['full moon entertainment'],Castle Freak,0.0
"['the rank organisation', 'bórd scannán na héireann', 'lantana', 'price entertainment']",Circle of Friends,0.0
"['miramax films', 'view askew productions']",Clerks,3151130.0
"['new line cinema', 'american zoetrope']",Don Juan DeMarco,22200000.0
"['warner bros.', 'baltimore pictures']",Disclosure,214015089.0
"['keystone pictures', 'dream man productions inc']",Dream Man,0.0
['paramount pictures'],Drop Zone,0.0
"['savoy pictures', 'rysher entertainment']",Destiny Turns on the Radio,0.0
"['fine line features', 'channel four films', 'capitol films', 'tf1 films production', 'canal+', 'flach film', ""les films de l'astre""]",Death and the Maiden,0.0
"['castle rock entertainment', 'columbia pictures corporation']",Dolores Claiborne,0.0
"['new line cinema', 'motion picture corporation of america (mpca)']",Dumb and Dumber,247275374.0
"['ang lee productions', 'good machine', 'central motion pictures']",Eat Drink Man Woman,7294403.0
"['miramax films', 'alliance entertainment', 'ego film arts']",Exotica,0.0
['savoy pictures'],Exit to Eden,6841570.0
['touchstone pictures'],Ed Wood,5887457.0
"['twentieth century fox film corporation', 'polygram filmed entertainment', 'working title films', 'prufrock pictures']",French Kiss,0.0
"['columbia pictures', 'castle rock entertainment']",Forget Paris,0.0
['twentieth century fox film corporation'],Far from Home: The Adventures of Yellow Dog,0.0
['walt disney pictures'],A Goofy Movie,35348597.0
['tristar pictures'],Hideaway,12201255.0
['metro-goldwyn-mayer'],Fluke,0.0
"['italian international film', 'stéphan films', 'mg']",Farinelli,0.0
,Gordy,3992809.0
,Gumby: The Movie,0.0
['miramax films'],The Glass Shield,0.0
"['fine line features', 'kartemquin films']",Hoop Dreams,7830611.0
"['wingnut films', 'miramax films', 'new zealand film commission', 'fontana productions']",Heavenly Creatures,3049135.0
"['caravan pictures', 'hollywood pictures']",Houseguest,26325256.0
"['columbia pictures', 'majestic films international', 'icon entertainment international']",Immortal Beloved,0.0
"['walt disney pictures', 'caravan pictures']",Heavyweights,17689177.0
"['universal pictures', 'bregman/baer productions']",The Hunted,0.0
['paramount pictures'],I.Q.,0.0
['geffen pictures'],Interview with the Vampire,223664608.0
"['merchant ivory productions', 'touchstone pictures']",Jefferson in Paris,2474000.0
"['caravan pictures', 'touchstone pictures']",The Jerky Boys,0.0
"['universal pictures', 'northern lights entertainment']",Junior,37000000.0
"['fountainbridge films', 'warner bros.', 'lee rich productions']",Just Cause,0.0
"['walt disney pictures', 'trimark pictures']",A Kid in King Arthur's Court,0.0
['twentieth century fox film corporation'],Kiss of Death,0.0
"['lucasfilm', 'twentieth century fox film corporation']",Star Wars,775398007.0
['columbia pictures'],Little Women,0.0
['warner bros.'],A Little Princess,0.0
"['channel four films', 'parallax pictures']",Ladybird Ladybird,0.0
['mk2 productions'],L'Enfer,0.0
"['aviacsa', 'cinevista']",Like Water for Chocolate,21665468.0
"['bedford falls productions', 'tristar pictures', 'pangaea']",Legends of the Fall,160638883.0
['universal pictures'],Major Payne,0.0
"['fine line features', 'new line cinema', 'live entertainment']",Little Odessa,0.0
"['channel four films', 'cineville', 'home box office (hbo)', 'showcase entertaiment inc.']",Mi Vida Loca,0.0
['warner bros.'],Love Affair,0.0
['paramount pictures'],Losing Isaiah,7603766.0
"['channel four films', 'samuel goldwyn company', 'close call films']",The Madness of King George,0.0
"['american zoetrope', 'tristar pictures']",Mary Shelley's Frankenstein,112006296.0
['walt disney pictures'],Man of the House,0.0
['tristar pictures'],Mixed Nuts,0.0
"['paramount pictures', 'the kennedy/marshall company']",Milk Money,18137661.0
['twentieth century fox film corporation'],Miracle on 34th Street,46264384.0
['hollywood pictures'],Miami Rhapsody,5.0
"['american zoetrope', 'american playhouse', 'majestic films international', 'newcomb productions']",My Family,0.0
"['wolper organization', 'warner bros.']",Murder in the First,17381942.0
"['paramount pictures', 'capella international', 'cinehaus']",Nobody's Fool,0.0
"['twentieth century fox film corporation', 'egg pictures', 'polygram filmed entertainment']",Nell,106683817.0
['40 acres & a mule filmworks'],New Jersey Drive,0.0
"['toei', 'distant justice joint venture']",New York Cop,0.0
['metrodome films'],Beyond Bedlam,0.0
"['filmwerks', 'imperial entertainment']",Nemesis 2 - Nebula,0.0
['triumph films'],Nina Takes a Lover,0.0
"['regency enterprises', 'alcor films', 'ixtlan', 'warner bros.', 'new regency pictures', 'j d productions']",Natural Born Killers,50282766.0
['tristar pictures'],Only You,0.0
"['avalon studios', 'new zealand film commission', 'new zealand on air']",Once Were Warriors,2201126.0
"['new line cinema', 'cinetel pictures', 'mg entertainment']",Poison Ivy II: Lily,0.0
"['kopelson entertainment', 'punch productions', 'warner bros.', 'arnold kopelson productions']",Outbreak,189859560.0
"['columbia pictures', 'gaumont']",Leon: The Professional,45284974.0
"['samuel goldwyn company, the']",The Perez Family,2832826.0
['hollywood pictures'],A Pyromaniac's Love Story,0.0
"['miramax films', 'a band apart', 'jersey films']",Pulp Fiction,213928762.0
"['polygram filmed entertainment', 'gramercy pictures (i)', 'mvp films']",Panther,6834525.0
['ang lee productions'],Pushing Hands,152322.0
"['bbc films', 'polygram filmed entertainment', 'miramax']",Priest,4176932.0
"['wildwood enterprises', 'hollywood pictures', 'baltimore pictures']",Quiz Show,0.0
"['cecile company', 'thousand cranes filmworks']",Picture Bride,0.0
"['renn productions', 'eurimages', 'canal+', 'ard/degeto film gmbh', 'd.a. films', 'france2 cinéma', 'wmg film', 'centre national de la cinématographie (cnc)', 'n.e.f. filmproduktion und vertriebs gmbh', 'miramax', 'rcs films & tv']",Queen Margot,0.0
['tristar pictures'],The Quick and the Dead,18552460.0
"['hollywood pictures', 'interscope communications', 'nomura babcock & brown']",Roommates,12400000.0
['miramax films'],Prêt-à-Porter,11300653.0
"['zespół filmowy tor', 'le studio canal+', 'france 3 cinéma', 'télévision suisse-romande']",Three Colors: Red,0.0
"['france 3 cinéma', 'ced productions']",Three Colors: Blue,0.0
"['le studio canal+', 'france 3 cinéma', 'eurimages']",Three Colors: White,0.0
,"Red Firecracker, Green Firecracker",0.0
,Rent-a-Kid,0.0
"['allegro films', 'norstar entertainment', 'west wind entertainment']",Relative Fear,0.0
['paramount pictures'],Stuart Saves His Family,0.0
['rich animation studios'],The Swan Princess,9771658.0
"['jones entertainment group', 'skerry productions']",The Secret of Roan Inish,0.0
"['jerry weintraub productions', 'warner bros.', 'iguana producciones']",The Specialist,170362582.0
"['centropolis entertainment', 'studiocanal', 'carolco entertainment']",Stargate,196567262.0
"['walt disney pictures', 'hollywood pictures']",The Santa Clause,189833357.0
"['castle rock entertainment', 'warner bros.']",The Shawshank Redemption,28341469.0
"['channel four films', 'figment films', 'the glasgow film fund', 'polygram filmed entertainment']",Shallow Grave,0.0
['kino korsakoff'],Suture,102780.0
"['miramax films', 'tabasco films', 'instituto mexicano de cinematografía (imcine)', 'telemadrid']",Strawberry and Chocolate,0.0
"['cineville', 'trimark pictures']",Swimming with Sharks,0.0
['samuel goldwyn company'],The Sum of Us,0.0
"['new line cinema', '1992 number four limited partnership', 'mha']",Senior Trip,0.0
"['shanghai film studios', 'era international ltd']",To Live,0.0
['trilogy entertainment group'],Tank Girl,4064495.0
"['universal pictures', 'tales from the crypt holdings']",Tales from the Crypt: Demon Knight,0.0
['paramount pictures'],Star Trek: Generations,120000000.0
"['40 acres & a mule filmworks', 'savoy pictures']",Tales from the Hood,12000000.0
,Tom & Viv,0.0
['universal pictures'],Village of the Damned,0.0
['paramount pictures'],Tommy Boy,32648673.0
['sony pictures classics'],Vanya on 42nd Street,0.0
['populist pictures'],The Underneath,0.0
"['savoy pictures', 'price entertainment', 'jackson/mchenry company,the']",The Walking Dead,0.0
['paramount pictures'],What's Eating Gilbert Grape,10032765.0
['paramount pictures'],Virtuosity,24048000.0
"['caravan pictures', 'hollywood pictures']",While You Were Sleeping,182057016.0
['universal pictures'],The War,0.0
"['fine line features', 'téléfilm canada', 'first generation films', 'national film board of canada (nfb)', 'british columbia film commission']",Double Happiness,759393.0
"['ciby 2000', 'film victoria', 'house & moorhouse films']",Muriel's Wedding,15119639.0
"['columbia pictures corporation', 'beacon pictures']",The Baby-Sitters Club,0.0
"['warner bros.', 'morgan creek productions']",Ace Ventura: Pet Detective,107217396.0
['polygram filmed entertainment'],"The Adventures of Priscilla, Queen of the Desert",11220670.0
['gramercy pictures'],Backbeat,0.0
"['fine line features', 'r.p. productions', 'columbia pictures corporation', 'les films alain sarde', 'canal+', 'timothy burrill productions']",Bitter Moon,1862805.0
['miramax films'],Bullets Over Broadway,0.0
"['paramount pictures', 'mace neufeld productions']",Clear and Present Danger,215887717.0
"['regency enterprises', 'alcor films', 'warner bros.']",The Client,117615211.0
['new line cinema'],"Corrina, Corrina",0.0
"['universal pictures', '40 acres & a mule filmworks']",Crooklyn,0.0
"['miramax films', 'crowvision inc.', 'entertainment media investment corporation', 'jeff most productions', 'edward r. pressman film']",The Crow,94000000.0
"['regency enterprises', 'alcor films', 'warner bros.', 'aleor films']",Cobb,1007583.0
"['universal pictures', 'amblin entertainment', 'hanna-barbera productions']",The Flintstones,341631208.0
['paramount pictures'],Forrest Gump,677945399.0
"['channel four films', 'polygram filmed entertainment', 'working title films']",Four Weddings and a Funeral,254700832.0
"['columbia pictures corporation', 'new deal productions']",Higher Learning,38290723.0
"['columbia pictures corporation', 'think again productions', 'riot of color']",I Like It Like That,1777020.0
"['caravan pictures', 'touchstone pictures']",I Love Trouble,61947267.0
['tristar pictures'],It Could Happen to You,0.0
,The Jungle Book,0.0
"['channel four films', 'arte', 'zweites deutsches fernsehen (zdf)', 'nomad films', 'omega film gmbh', 'without walls']","The Wonderful, Horrible Life of Leni Riefenstahl",449707.0
"['walt disney pictures', 'walt disney feature animation']",The Lion King,788241776.0
['miramax films'],Little Buddha,4858139.0
['new line cinema'],New Nightmare,18090181.0
"['new line cinema', 'dark horse entertainment']",The Mask,351583407.0
"['icon entertainment international', 'warner bros.']",Maverick,0.0
"['fine line features', 'miramax films']",Mrs. Parker and the Vicious Circle,0.0
['paramount pictures'],The Naked Gun 33⅓: The Final Insult,51132598.0
"['imagine entertainment', 'universal pictures']",The Paper,0.0
"['universal pictures', 'jersey films']",Reality Bites,20079850.0
"['propaganda films', 'polygram filmed entertainment']",Red Rock West,2000000.0
"['davis entertainment', 'silver pictures', 'warner bros.']",Ri¢hie Ri¢h,0.0
['new line cinema'],Safe Passage,0.0
"['universal pictures', 'david foster productions', 'turman-foster company']",The River Wild,0.0
['twentieth century fox film corporation'],Speed,350448145.0
['metro-goldwyn-mayer (mgm)'],Speechless,0.0
"['universal pictures', 'renaissance pictures', 'dark horse entertainment', 'largo entertainment', 'signature pictures', 'jvc entertainment networks']",Timecop,101646581.0
"['twentieth century fox film corporation', 'lightstorm entertainment']",True Lies,378882411.0
['touchstone pictures'],When a Man Loves a Woman,50021959.0
['columbia pictures'],Wolf,0.0
"['tig productions', 'warner bros.', 'kasdan pictures', 'paragon entertainment corp.']",Wyatt Earp,25052000.0
"['touchstone pictures', 'tool shed productions']",Bad Company,0.0
"['bbc films', 'majestic films international', 'little bird']",A Man of No Importance,953.0
"['gramercy pictures', 'polygram filmed entertainment']",S.F.W.,0.0
"['caravan pictures', 'hollywood pictures']",A Low Down Dirty Shame,29392418.0
"['strand releasing', 'strand home video']","Boys Life: Three Stories of Love, Lust, and Liberation",0.0
,Colonel Chabert,0.0
['eve productions inc.'],"Faster, Pussycat! Kill! Kill!",0.0
,Jason's Lyric,20851521.0
"['bolex brothers', 'lumen films', 'tara']",The Secret Adventures of Tom Thumb,0.0
"['universal pictures', 'capcom']",Street Fighter,99423521.0
"['propaganda films', 'motion picture corporation of america (mpca)', 'polygram filmed entertainment', 'snowback productions']",Coldblooded,0.0
,Desert Winds,0.0
"['live entertainment', 'capitol films', 'bates entertainmant']",Fall Time,0.0
"['a-pix entertainment', 'devin entertainment']",The Fear,0.0
"['walt disney pictures', 'theodore thomas productions']",Frank and Ollie,0.0
['overseas filmgroup'],Girl in the Cadillac,0.0
"['skyline entertainment partners', 'arrow']",Homage,0.0
,Mirage,0.0
"['home box office (hbo)', 'frozen rope productions inc.']",Open Season,0.0
,Dos Crímenes,0.0
,Brother Minister: The Assassination of Malcolm X,0.0
"['trans-film', 'initial groupe', 'lumière pictures', 'fallingcloud']",Highlander: The Final Dimension,36800000.0
,Federal Hill,0.0
['new line cinema'],In the Mouth of Madness,8946600.0
['new line cinema'],8 Seconds,0.0
['new line cinema'],Above the Rim,0.0
